"ID_MOVIE";"ID_WIKIDATA";"ID_IMDB";"ID_WIKIDATA_MOVIE";"ID_TMDB_WIKIDATA";"TITLE";"ADULT";"ID_MOVIE_ERASE_WIKIDATA_ID"
"8345";"Q106718470";"tt1213049";"8345";;"Es geht um Alles";"0";NULL
"10570";"Q1429114";"tt0091060";"10570";;"Flodder";"0";NULL
"13399";"Q3434301";"tt0219086";"13399";;"Robbie the Reindeer: Hooves of Fire";"0";NULL
"29599";"Q132802389";"tt0131492";"29599";;"The Mummy and the Curse of the Jackals";"0";NULL
"30445";"Q136890936";"tt0273726";"30445";;"Christmas Nightmare";"0";NULL
"37539";"Q136905708";"tt1329101";"37539";;"My So-called Love";"0";NULL
"39828";"Q996247";"tt0116456";"39828";;"Young and Dangerous";"0";NULL
"39893";"Q1891905";"tt0059496";"39893";;"The Nanny";"0";NULL
"43183";"Q137303536";"tt1598174";"43183";;"This Ain't Star Trek XXX 2: The Butterfly Effect";"1";NULL
"47338";"Q3226409";"tt4854120";"47338";;"Detective Conan Drama Special 2: Confrontation With the Men in Black";"0";NULL
"48489";"Q2353378";"tt0783798";"48489";;"The Sin";"0";NULL
"68940";"Q137164950";"tt0402260";"68940";;"The Trail to Hope Rose";"0";NULL
"74272";"Q136691740";"tt0353288";"74272";;"The Imposter";"0";NULL
"74973";"Q137133429";"tt1136613";"74973";;"National Geographic: Hitler and the Occult";"0";NULL
"78607";"Q19808819";"tt11542594";"0";;"Pattali";"0";NULL
"79853";"Q137342319";"tt0211896";"79853";;"38 Parrots";"0";NULL
"84423";"Q65040689";"tt0071626";"84423";;"The House That Cried Murder";"0";NULL
"85056";"Q4007147";"tt2134193";"85056";;"Vacanze di Natale a Cortina";"0";NULL
"88141";"Q136691738";"tt0068869";"88141";;"The Lizard";"0";NULL
"98344";"Q647130";"tt2007993";"98344";;"Warriors of the Rainbow: Seediq Bale - Part 1: The Sun Flag";"0";"313230"
"119946";"Q137387136";"tt1152389";"119946";;"Robbie the Reindeer in Close Encounters of the Herd Kind";"0";NULL
"123792";"Q136945940";"tt0100582";"123792";;"Sex Trek: The Next Penetration";"1";NULL
"129404";"Q137235913";"tt1859619";"129404";;"The Transition Period";"0";NULL
"136488";"Q22126745";"tt2073156";"136488";;"Friends After 3.11";"0";NULL
"139747";"Q137321660";"tt0117553";"139747";;"Satan Claus";"0";NULL
"146095";"Q11322615";"tt15156062";"0";;"Dr. Slump: Arale's Surprise Bang";"0";NULL
"153803";"Q106716364";"tt2566368";"153803";;"Consequence";"0";NULL
"158635";"Q137303386";"tt0264887";"158635";;"An Italian in Greece";"0";NULL
"159940";"Q136932080";"tt0150427";"159940";;"Důvod k rozvodu";"0";NULL
"164268";"Q137273031";"tt0279641";"164268";;"Directed by Alan Smithee";"0";NULL
"170924";"Q3842093";"tt0095562";"170924";;"Macho Dancer";"0";NULL
"175238";"Q3045315";"tt6468618";"175238";;"Detective Conan: Shinichi Kudo and the Kyoto Shinsengumi Murder Case";"0";NULL
"178062";"Q123288340";"tt0275390";"178062";;"Wagner: Götterdämmerung";"0";NULL
"183167";"Q3424148";"tt0206877";"183167";;"Lava Kusa";"0";NULL
"188991";"Q133798572";"tt0087419";"188991";;"Hollywood Out-takes and Rare Footage";"0";NULL
"190079";"Q137156860";"tt0348167";"190079";;"São Paulo, a Metropolitan Symphony";"0";NULL
"196983";"Q136431276";"tt0101769";"196983";;"Master of the Shadows";"0";NULL
"202394";"Q131718663";"tt0062800";"202394";;"Chimp & Zee";"0";NULL
"208678";"Q137363358";"tt3019264";"208678";;"This ain't Star Trek XXX 3";"1";NULL
"211297";"Q7641466";"tt3601558";"0";;"Grateful Dead: Sunshine Daydream";"0";NULL
"221069";"Q136691743";"tt0078877";"221069";;"Blooded Treasury Fight";"0";NULL
"246596";"Q108882818";"tt0021184";"246596";;"Night Work";"0";NULL
"250749";"Q6035925";"tt8355792";"0";;"Innocence";"0";NULL
"254716";"Q12095916";"tt15408478";"0";;"The Hetman's Jewels";"0";NULL
"256701";"Q137373900";"tt2366150";"256701";;"The Immortal Augustus Gladstone";"0";NULL
"259169";"Q136936527";"tt1920939";"259169";;"The Prince of Tennis: Showdown in England's Tennis Fortress";"0";NULL
"259662";"Q137363248";"tt0188231";"259662";;"Teresa";"0";NULL
"270027";"Q15728135";"tt0237133";"270027";;"Dananeir";"0";NULL
"271829";"Q7543926";"tt0258972";"271829";;"The Smart Alec";"1";NULL
"278021";"Q106718412";"tt1445745";"278021";;"Spielverderber";"0";NULL
"278252";"Q137211153";"tt1629399";"278252";;"The Cat, The Reverend and The Slave";"0";NULL
"279129";"Q6754763";"tt0246064";"279129";;"Marana Mrudangam";"0";NULL
"289469";"Q14757595";"tt0311846";"289469";;"South of the City";"0";NULL
"291812";"Q106764834";"tt0392905";"291812";;"Waves";"0";NULL
"303313";"Q16253995";"tt1579880";"303313";;"Untitled";"0";NULL
"305812";"Q93736813";"tt1937146";"305812";;"Eh Jeung";"0";NULL
"310508";"Q22129833";"tt2063721";"310508";;"Last Chestnuts";"0";NULL
"312398";"Q11284296";"tt0468649";"312398";;"Animus Anima";"0";NULL
"312788";"Q132158085";"tt2293060";"312788";;"머니 게임 - 월스트리트";"0";NULL
"321396";"Q42296322";"tt1679562";"321396";;"Die drei Gesichter der Tamara Bunke";"0";NULL
"324477";"Q17223288";"tt2351385";"324477";;"Sweetheart Chocolate";"0";NULL
"325162";"Q42049034";"tt1677651";"0";;"Uneven Fairways";"0";NULL
"327179";"Q94382759";"tt4966298";"0";;"Vaseline Hours";"0";NULL
