"ID_PERSON";"ID_WIKIDATA";"ID_IMDB";"ID_WIKIDATA_PERSON";"ID_TMDB_WIKIDATA";"NAME";"ADULT";"ID_PERSON_ERASE_WIKIDATA_ID"
"29654";"Q1209793";"nm0004615";"29654";;"Dick Smith";"0";NULL
"63422";"Q15838501";"nm0494628";"63422";;"Philippe Le Sourd";"0";NULL
"74769";"Q138634447";"nm0736201";"74769";;"Bob Roe";"0";NULL
"94152";"Q95760093";"nm1406441";"94152";;"Jean-Phillippe Dugand";"0";NULL
"124855";"Q3435044";"nm0254609";"124855";;"Robert Elliott";"0";NULL
"126342";"Q5561957";"nm0040780";"126342";;"Nick Atkinson";"0";"2924920"
"132803";"Q11369159";"nm2759146";"4092504";;"Tomohiro Kubo";"0";"4092504"
"135900";"Q56364790";"nm0046969";"135900";;"Zahra Bahrami";"0";NULL
"150745";"Q462317";"nm0003286";"150745";;"Taylor S. Clair";"0";"102877"
"163153";"Q138648518";"nm1042284";"163153";;"Sheila Scott";"1";NULL
"185394";"Q112476039";"nm0713252";"185394";;"Emily Raymond";"0";NULL
"220118";"Q137299234";"nm1264549";"220118";;"Benjamin Petry";"0";NULL
"235535";"Q10869255";"nm0645461";"235535";;"Jojiro Okami";"0";"1486726"
"555579";"Q11632731";"nm1147118";"554163";;"Koji Taniguchi";"0";"554163"
"557543";"Q5366236";"nm0827680";"0";;"Ellyn Stern";"0";NULL
"558725";"Q138638754";"nm0210078";"558725";;"Mike De Marco";"1";NULL
"566672";"Q11672243";"nm4132661";"566672";;"Masahiro Takata";"0";"2464449"
"584641";"Q724568";"nm1441726";"584347";;"Jaganathan";"0";"584347"
"933922";"Q56290814";"nm0710258";"933922";;"James Rankin";"0";NULL
"943440";"Q112942156";"nm3183937";"943440";;"Stephen MacDonald";"0";NULL
"1027068";"Q56119971";"nm0006938";"1027068";;"Leonardo Fasoli";"0";NULL
"1060081";"Q28749126";"nm2922572";"1060081";;"Johnny Pemberton";"0";NULL
"1065752";"Q16217462";"nm1586120";"1065752";;"Alonso Mayo";"0";NULL
"1071703";"Q138638304";"nm5229384";"1071703";;"Sierra Day";"1";NULL
"1129520";"Q64750740";"nm1253708";"1129520";;"Zhongliang Wang";"0";NULL
"1131195";"Q4157391";"nm3293566";"1131195";;"Andrey Dementev";"0";"1169026"
"1169045";"Q15071123";"nm0501188";"2912025";;"Aleksandr Lemberg";"0";"2912025"
"1178851";"Q138634828";"nm5366329";"1178851";;"Holly Taylor";"1";NULL
"1180324";"Q137394552";"nm0897987";"1180324";;"Orlando Villar";"0";NULL
"1183443";"Q138633255";"nm0694219";"1183443";;"Marcus Powell";"0";NULL
"1199517";"Q138081152";"nm0940964";"1199517";;"Marisa Woodward";"0";NULL
"1210523";"Q137942837";"nm0534882";"1210523";;"Labiby Madi";"0";NULL
"1215374";"Q59825816";"nm1476956";"1215374";;"Lamont Thompson";"0";NULL
"1230543";"Q16211199";"nm5067037";"1143401";;"Alan Watt";"0";"1143401"
"1236785";"Q64012442";"nm0217218";"1236785";;"Christopher DeLisle";"0";NULL
"1253821";"Q100962715";"nm0281514";"1253821";;"Dan Brown";"0";NULL
"1255427";"Q64358462";"nm0671803";"1255427";;"Ann Penfold";"0";NULL
"1264681";"Q62601428";"nm4301980";"1264681";;"Yuki Kimura";"0";"2721102"
"1274497";"Q60417306";"nm1517220";"1274497";;"Benjamin de Wit";"0";NULL
"1284132";"Q138639627";"nm0419743";"1284132";;"Ivete Jayme";"0";NULL
"1289296";"Q6273718";"nm0907897";"52702";;"Jonathan Walker";"0";"52702"
"1294264";"Q60945761";"nm2208491";"0";;"Marie-Hélène Copti";"0";NULL
"1295417";"Q20445094";"nm4535657";"1295417";;"Kim Jong-soo";"0";NULL
"1299281";"Q69697161";"nm4300257";"2482161";;"Park Min-jeong";"0";"2482161"
"1314860";"Q16837254";"nm5325802";"3342204";;"Jordi Roca";"0";"3342204"
"1330626";"Q12601524";"nm5816672";"2468795";;"Eun-mi Suh";"0";NULL
"1330692";"Q30082983";"nm5686622";"1330692";;"Mohamed Saïd Hafifi";"0";"947663"
"1332194";"Q60320238";"nm0107041";"1332194";;"Catherine Brelet";"0";NULL
"1335590";"Q5623458";"nm0791785";"1236093";;"Gwendolyn Shepherd";"0";NULL
"1336783";"Q60771336";"nm4476748";"1336783";;"Will Anderson";"0";NULL
"1342569";"Q138642039";"nm0243614";"1342569";;"Edmond Duquesne";"0";NULL
"1355826";"Q56379834";"nm1124712";"1355826";;"Chris Murphy";"0";NULL
"1361571";"Q60710635";"nm2510392";"1361571";;"Hayes Hargrove";"0";NULL
"1366358";"Q23815354";"nm0172258";"1366358";;"David Collins";"0";NULL
"1368020";"Q59208898";"nm1347561";"1368020";;"Mary Leah Sutton";"0";NULL
"1380346";"Q63413348";"nm0132367";"1380346";;"David Campbell";"0";"45357"
"1385626";"Q138648338";"nm1546607";"1385626";;"Cynthia Cruz";"1";NULL
"1385983";"Q6032992";"nm0845117";"1385983";;"Muriel Sanchez";"0";NULL
"1387671";"Q60318767";"nm1667066";"1387671";;"Kate Arrington";"0";NULL
"1395827";"Q60648650";"nm0781736";"1395827";;"Dan Sefton";"0";NULL
"1405064";"Q58840223";"nm5620591";"1405064";;"Bill Kennedy";"0";NULL
"1407440";"Q3544929";"nm1973799";"1407440";;"Maiko Tōno";"0";NULL
"1418612";"Q4321483";"nm0632554";"1418612";;"Boris Nirenburg";"0";NULL
"1419625";"Q64138496";"nm3754108";"1419625";;"Anna Chazelle";"0";NULL
"1420676";"Q112546085";"nm1103633";"0";;"Matthew Slater";"0";NULL
"1427239";"Q56358711";"nm7143851";"1427239";;"Mehri Aleagha";"0";NULL
"1450918";"Q10856423";"nm3338629";"2163658";;"Toshio Takeuchi";"0";"2163658"
"1452391";"Q6811310";"nm3346060";"1452391";;"Melanie Marnich";"0";NULL
"1462863";"Q138648757";"nm1169673";"1462863";;"Sophie Angel";"1";NULL
"1479878";"Q547039";"nm2406693";"1479878";;"Simon Schaffer";"0";"3996642"
"1491642";"Q1901715";"nm0679430";"1491642";;"Markus Pfeiffer";"0";NULL
"1493487";"Q12582838";"nm1118547";"1493487";;"Kang Ri-na";"0";NULL
"1496026";"Q19664222";"nm0809727";"1496026";;"Rob Smith";"0";NULL
"1581369";"Q111014967";"nm1332399";"0";;"Joe Dobbs III";"0";NULL
