"ID_PERSON";"ID_WIKIDATA";"ID_IMDB";"ID_WIKIDATA_PERSON";"ID_TMDB_WIKIDATA";"NAME";"ADULT"
"1168";"Q135413760";"nm0763274";"1168";;"Arnaldo Santana";"1"
"9605";"Q20203432";"nm0691365";"9605";;"Vladimir Popov";"0"
"13050";"Q134778517";"nm0598106";"13050";;"Tim Monich";"0"
"14853";"Q136032054";"nm0015827";"14853";;"Michael Alaimo";"0"
"25862";"Q135643966";"nm0932230";"25862";;"Chris G. Willingham";"0"
"29654";"Q1209793";"nm0004615";"29654";;"Dick Smith";"0"
"48669";"Q6828599";"nm1129307";"0";;"Michael Bergmann";"0"
"56507";"Q8008271";"nm0551976";"1213908";;"Bill Martin";"0"
"60904";"Q3434683";"nm0122853";"0";;"Rob Burns";"0"
"63422";"Q15838501";"nm0494628";"63422";;"Philippe Le Sourd";"0"
"64472";"Q124788843";"nm1325924";"0";;"Bryan Terrell Clark";"0"
"69881";"Q95345680";"nm2007766";"69881";;"Paul Brett";"0"
"79901";"Q3541558";"nm0500978";"79901";;"Tsidii Leloka";"0"
"81611";"Q136484996";"nm1406317";"81611";;"Louis J. Cuck";"0"
"82263";"Q135649478";"nm0706884";"82263";;"Jeremy Railton";"0"
"83779";"Q1307358";"nm0910591";"83779";;"Travis Walton";"0"
"87133";"Q1878812";"nm0125829";"87133";;"Lyndon Byers";"0"
"89454";"Q136485307";"nm0633288";"89454";;"Sikki Nixx";"1"
"91547";"Q528496";"nm0897201";"91547";;"Vijay";"0"
"91886";"Q2553091";"nm0341396";"1167740";;"Wayne Griffin";"0"
"92200";"Q5129339";"nm0145418";"92200";;"Claudio Castravelli";"0"
"108693";"Q135039318";"nm2715338";"108693";;"Sheaun McKinney";"0"
"111491";"Q134519180";"nm0397301";"111491";;"Howard Wright";"0"
"124855";"Q3435044";"nm0254609";"124855";;"Robert Elliott";"0"
"126342";"Q5561957";"nm0040780";"126342";;"Nick Atkinson";"0"
"127482";"Q136461679";"nm0529151";"127482";;"Robin Lyons";"0"
"131033";"Q114008615";"nm1023437";"0";;"Roberto Milazzo";"0"
"131704";"Q136456982";"nm2846784";"131704";;"Lukasz Chojeta";"0"
"132803";"Q11369159";"nm2759146";"4092504";;"Tomohiro Kubo";"0"
"136581";"Q136456886";"nm2800429";"136581";;"Adam Konowalski";"0"
"136582";"Q136456920";"nm3191457";"136582";;"Szymon Cempura";"0"
"136593";"Q136457175";"nm3361950";"136593";;"Maciej Wyczański";"0"
"136597";"Q136457268";"nm2238762";"136597";;"Agata Meilute";"0"
"136598";"Q136457423";"nm2844845";"136598";;"Teresa Bielińska";"0"
"144375";"Q136479800";"nm0933188";"144375";;"Chrystale Wilson";"0"
"144442";"Q16140807";"nm1315606";"144442";;"Arnut Rapanit";"0"
"146184";"Q3217811";"nm0168594";"0";;"Lara Cody";"0"
"147701";"Q2663797";"nm0392792";"1253461";;"Hans Holzer";"0"
"150745";"Q462317";"nm0003286";"150745";;"Taylor S. Clair";"0"
"154166";"Q6779610";"nm0302437";"0";;"Mary Gallagher";"0"
"157489";"Q136476164";"nm0528047";"0";;"John Lykes";"0"
"176819";"Q3525262";"nm4297891";"1315013";;"Thomas Johnson";"0"
"191335";"Q136496756";"nm0745024";"191335";;"Shira Roth";"0"
"213739";"Q136482428";"nm0630388";"213739";;"Nicolette";"1"
"223236";"Q6196418";"nm0507355";"1240103";;"Jim Lewis";"0"
"227664";"Q136418956";"nm0105919";"227664";;"Thomas Braungart";"0"
"229775";"Q320726";"nm0707789";"229775";;"Mick Ralphs";"0"
"235318";"Q4244837";"nm1436182";"235318";;"Andrey Kuzichyov";"0"
"236024";"Q42887185";"nm0193338";"1306714";;"Gabriel Curtis";"0"
"239580";"Q133596666";"nm2563293";"239580";;"Paul Grimstad";"0"
"240657";"Q7199805";"nm1908317";"1238100";;"Karen Chan Ga-Yee";"0"
"242238";"Q136462946";"nm0269524";"242238";;"William Pawley";"0"
"544153";"Q95795921";"nm0747990";"544153";;"Howard Nelson Rubien";"0"
"549583";"Q7327791";"nm1628182";"549583";;"Richard Metzger";"0"
"554230";"Q135910712";"nm0479633";"554230";;"Carl LaBove";"0"
"563208";"Q62729757";"nm2692904";"563208";;"Bianca Golden";"1"
"566672";"Q11672243";"nm4132661";"566672";;"Masahiro Takata";"0"
"567972";"Q55402981";"nm0907646";"567972";;"Corban Walker";"0"
"575435";"Q1996310";"nm0992613";"575435";;"David Mancuso";"0"
"606215";"Q2959514";"nm0442104";"139317";;"Charles Kaufman";"0"
"928471";"Q135285833";"nm0957695";"928471";;"Stephen Zoller";"0"
"935888";"Q4280554";"nm1475312";"1260161";;"Natalia Silantyeva";"0"
"937232";"Q110745868";"nm2545844";"0";;"Leni Ito";"0"
"939271";"Q16214365";"nm2187153";"939271";;"Raquel Cepeda";"0"
"1008257";"Q120989553";"nm4341690";"1008257";;"Tim Dax";"0"
"1012004";"Q95860372";"nm0557947";"1012004";;"Takashi Masunaga";"0"
