"ID_SERIE";"ID_WIKIDATA";"ID_IMDB";"ID_WIKIDATA_SERIE";"ID_TMDB_WIKIDATA";"TITLE";"ADULT";"ID_SERIE_ERASE_WIKIDATA_ID"
"121";"Q39243428";"tt0056751";"0";;"Doctor Who";"0";NULL
"492";"Q1168760";"tt0066722";"0";;"Upstairs, Downstairs";"0";NULL
"1007";"Q868399";"tt0078635";"0";;"Mrs. Columbo";"0";NULL
"1022";"Q7028377";"tt0210723";"0";;"Nickelodeon GUTS";"0";NULL
"1286";"Q4176031";"tt0259128";"0";;"BattleBots";"0";"62959"
"1333";"Q5688921";"tt0198138";"0";;"He Said, She Said";"0";NULL
"3022";"Q304290";"tt0101188";"0";;"Rugrats";"0";NULL
"3026";"Q1619426";"tt0144065";"0";;"Richie Rich";"0";NULL
"3107";"Q5617763";"tt0177444";"0";;"Gullah Gullah Island";"0";NULL
"3353";"Q3284363";"tt0202745";"0";;"Odd Man Out";"0";NULL
"3434";"Q3957905";"tt0462134";"0";;"Serious";"0";NULL
"3836";"Q4812547";"tt0090523";"0";;"At the Movies";"0";NULL
"3870";"Q5296720";"tt0073985";"0";;"Donny & Marie";"0";NULL
"3887";"Q7751801";"tt0384750";"0";;"The Mitchell and Webb Situation";"0";NULL
"3988";"Q1248917";"tt1077065";"0";;"Sin tetas no hay paraíso";"0";NULL
"4136";"Q4838753";"tt0162786";"0";;"Bachelor Father";"0";NULL
"4192";"Q7067212";"tt0194597";"0";;"Blockbusters";"0";NULL
"4618";"Q584745";"tt0801425";"0";;"Day Break";"0";NULL
"5478";"Q5057729";"tt1249208";"0";;"Celebrity Family Feud";"0";"82108"
"5585";"Q6133269";"tt1158105";"0";;"My Sassy Girl";"0";NULL
"6031";"Q8000736";"tt0108990";"0";;"Wild Oats";"0";NULL
"6094";"Q996028";"tt13031912";"0";;"The Cave of the Golden Rose";"0";NULL
"6739";"Q1216567";"tt0166923";"0";;"The Moment of Truth";"0";NULL
"7858";"Q7751920";"tt0243073";"0";;"The Mole";"0";NULL
"8063";"Q7776140";"tt0184037";"0";;"The World of Lee Evans";"0";NULL
"9281";"Q5089958";"tt0094432";"0";;"Chelmsford 123";"0";NULL
"9787";"Q7757984";"tt0103515";"0";;"The Powers That Be";"0";NULL
"9962";"Q7814726";"tt0108965";"0";;"Tom";"0";NULL
"10367";"Q7844657";"tt0259161";"0";;"Trivial Pursuit";"0";NULL
"10370";"Q1194353";"tt0085031";"0";;"The Hitchhiker";"0";NULL
"10399";"Q5380473";"tt0482346";"0";;"ET Entertainment Tonight";"0";NULL
"10527";"Q6369456";"tt0072525";"0";;"Karen";"0";NULL
"10798";"Q3829022";"tt0075484";"0";;"Blansky's Beauties";"0";NULL
"11328";"Q1421795";"tt0083430";"0";;"The Incredible Hulk";"0";NULL
"11385";"Q5207841";"tt0118295";"0";;"Dad";"0";NULL
"11866";"Q492015";"tt5985540";"0";;"Eighteen, Twenty-Nine";"0";NULL
"12067";"Q7018503";"tt0106083";"0";;"Newman and Baddiel in Pieces";"0";NULL
"12341";"Q135641316";"tt0450911";"0";;"E's Otherwise";"0";NULL
"12341";"Q1273069";"tt0450911";"0";;"E's Otherwise";"0";NULL
"12784";"Q3234288";"tt1086191";"0";;"Outnumbered";"0";NULL
"13179";"Q3139068";"tt0435926";"0";;"The Slave Isaura";"0";NULL
"13296";"Q4333771";"tt1065309";"0";;"Oliver Twist";"0";NULL
