"ID_PERSON";"ID_WIKIDATA";"ID_IMDB";"ID_WIKIDATA_PERSON";"ID_TMDB_WIKIDATA";"NAME";"ADULT";"ID_PERSON_ERASE_WIKIDATA_ID"
"1247598";"Q11522039";"nm1430213";"1247598";;"Rumi Sugimoto";"0";NULL
"1252347";"Q138299938";"nm3831411";"1252347";;"Marly Halpern-Graser";"0";NULL
"1260942";"Q138478937";"nm1074155";"1260942";;"Robert Emmett";"0";NULL
"1261123";"Q5230900";"nm3542719";"0";;"David Atkins";"0";NULL
"1263868";"Q138507664";"nm1329111";"1263868";;"Jamie Woods";"1";NULL
"1263914";"Q13014168";"nm5427748";"1263914";;"Jarunee Suksawat";"0";NULL
"1264124";"Q109844120";"nm11965202";"0";;"Ruben Lopez";"0";NULL
"1264681";"Q62601428";"nm4301980";"1264681";;"Yuki Kimura";"0";"2721102"
"1281932";"Q138515753";"nm2508998";"1281932";;"Valentine Rush";"1";NULL
"1290694";"Q138515418";"nm2504903";"1290694";;"Nikoletta Davis";"1";NULL
"1295417";"Q20445094";"nm4535657";"1295417";;"Kim Jong-soo";"0";NULL
"1295459";"Q15285995";"nm3514591";"1295459";;"Kim Min-young";"0";NULL
"1299281";"Q69697161";"nm4300257";"2482161";;"Park Min-jeong";"0";"2482161"
"1309637";"Q10654866";"nm2178084";"0";;"Richard Forsgren";"0";NULL
"1309823";"Q132526741";"nm2561671";"1309823";;"Ed Júnior";"1";NULL
"1314860";"Q16837254";"nm5325802";"3342204";;"Jordi Roca";"0";"3342204"
"1315013";"Q66756262";"nm0426322";"1315013";;"Thomas Johnson";"0";NULL
"1315640";"Q12880055";"nm0757209";"1315640";;"Lina Sakka";"0";NULL
"1330692";"Q30082983";"nm5686622";"1330692";;"Mohamed Saïd Hafifi";"0";"947663"
"1332751";"Q7117248";"nm0899794";"0";;"P G Viswambharan";"0";NULL
"1332812";"Q18126364";"nm0430666";"0";;"P.K. Joseph";"0";NULL
"1339096";"Q1418507";"nm3450398";"0";;"Fiona Hauser";"0";NULL
"1339287";"Q95735610";"nm6302280";"1339287";;"Sabine Lidl";"0";NULL
"1342930";"Q13023828";"nm13792550";"0";;"Angkana Woraruttanachai";"0";NULL
"1359562";"Q138571945";"nm0184612";"1359562";;"Paul Cowan";"0";NULL
"1363374";"Q138569964";"nm2265871";"1363374";;"Dirty Theo";"1";NULL
"1363538";"Q52824323";"nm3256778";"1363538";;"Tom Denoyette";"0";NULL
"1363546";"Q16345997";"nm6948875";"0";;"Basabdatta Chatterjee";"0";NULL
"1366358";"Q23815354";"nm0172258";"1366358";;"David Collins";"0";NULL
"1380346";"Q63413348";"nm0132367";"1380346";;"David Campbell";"0";"45357"
"1386818";"Q138509094";"nm0423066";"1386818";;"Yadira Jiménez";"0";NULL
"1388976";"Q3365456";"nm0886412";"1388976";;"Pieter van der Sman";"0";NULL
"1400286";"Q138412048";"nm1738095";"1400286";;"Amir Dolitzki";"0";NULL
"1405012";"Q5819414";"nm0535884";"0";;"Eduardo Magallanes";"0";NULL
"1408582";"Q20687620";"nm6976055";"0";;"Levison Wood";"0";NULL
"1418612";"Q4321483";"nm0632554";"1418612";;"Boris Nirenburg";"0";NULL
"1419487";"Q16068205";"nm1168530";"1419487";;"Yang Il-min";"0";NULL
"1421516";"Q138765";"nm13283448";"0";;"C. N. Annadurai";"0";NULL
"1422714";"Q15687935";"nm1167432";"0";;"A. Sanjeevi";"0";NULL
"1450727";"Q130300272";"nm0553607";"1450727";;"Lilia Martínez";"0";NULL
"1452391";"Q6811310";"nm3346060";"1452391";;"Melanie Marnich";"0";NULL
"1459603";"Q138509264";"nm0350261";"1459603";;"Lilia Guízar";"0";NULL
"1462241";"Q9080313";"nm0950690";"1462241";;"Yueh Yang";"0";NULL
"1477406";"Q138569928";"nm1758131";"1477406";;"Katerina";"1";NULL
"1479255";"Q138605105";"nm1690550";"0";;"Lina Roche";"1";NULL
"1479878";"Q547039";"nm2406693";"1479878";;"Simon Schaffer";"0";"3996642"
"1482742";"Q138566385";"nm0008328";"1482742";;"Harry Abdy";"0";NULL
"1491642";"Q1901715";"nm0679430";"1491642";;"Markus Pfeiffer";"0";NULL
"1496026";"Q19664222";"nm0809727";"1496026";;"Rob Smith";"0";NULL
"1501180";"Q11354139";"nm2459212";"1501180";;"Syoko Mikami";"1";NULL
"1512596";"Q137557790";"nm3212957";"1512596";;"Gunnar Nimpuno";"0";NULL
"1525295";"Q138508571";"nm0879385";"1525295";;"Guillermina Téllez Girón";"0";NULL
"1530548";"Q16178019";"nm7453685";"1530548";;"Kim Na-mi";"0";NULL
"1542652";"Q11495511";"nm6628384";"1542652";;"Songha";"0";NULL
"1544743";"Q138566131";"nm5703045";"1544743";;"Richard Beigh";"1";NULL
"1550912";"Q138605270";"nm0738835";"1550912";;"George Romanis";"0";NULL
"1555640";"Q106594515";"nm0714783";"0";;"Vijay Reddy";"0";NULL
"1562077";"Q3852500";"nm0034258";"1562077";;"Maurizio Arena";"0";NULL
"1602913";"Q134626212";"nm0434012";"1602913";;"Aleksandr Kabanov";"0";NULL
"1611614";"Q24640139";"nm2847100";"0";;"Tiffany Hsiung";"0";NULL
"1684270";"Q4989715";"nm1277487";"1684270";;"Anna Sise";"0";NULL
"1684271";"Q5988993";"nm0592538";"0";;"Rennie Mirro";"0";NULL
"1703334";"Q138567722";"nm12252854";"1703334";;"Heo Jun-seok";"0";NULL
"1721182";"Q129256639";"nm2917120";"0";;"Nola Klop";"0";NULL
"1721382";"Q94257361";"nm2760305";"1721382";;"Jean-Marie Montbarbut";"0";NULL
"1728296";"Q2381353";"nm0847042";"60757";;"Yumi Takada";"0";"60757"
"1732426";"Q98408322";"nm6746818";"1732426";;"Spencer House";"0";NULL
"1744060";"Q111650228";"nm8176068";"1744060";;"Neha Shetty";"0";NULL
"1780302";"Q55648010";"nm0436202";"0";;"Kalpataru";"0";NULL
"1809108";"Q3341002";"nm1927176";"0";;"Nicole Avril";"0";"77445"
"1814049";"Q16107447";"nm4984432";"0";;"Kent Nerburn";"0";NULL
"1814297";"Q136437686";"nm9271205";"1814297";;"Lee Soo";"0";NULL
"1818244";"Q23319734";"nm3442218";"0";;"Martin Vischer";"0";NULL
"1819538";"Q27206897";"nm0268507";"0";;"David Farrow";"0";NULL
"1829143";"Q138607792";"nm10451680";"0";;"Maria O'Brien";"0";NULL
"1832785";"Q52535167";"nm8528876";"1832785";;"Phiravich Attachitsataporn";"0";NULL
"1844937";"Q72881930";"nm4059984";"0";;"Jules A. Koostachin";"0";NULL
"1844937";"Q109370793";"nm4059984";"1844937";;"Jules A. Koostachin";"0";NULL
"1846559";"Q138502809";"nm1437817";"1846559";;"Craig Moore";"1";NULL
"1882732";"Q109844114";"nm1341296";"1882732";;"Sigrid Johnson";"0";NULL
"1910617";"Q118780177";"nm7595796";"1910617";;"Freya Kreutzkam";"0";NULL
"1913920";"Q11531280";"nm8412510";"1285657";;"Hana Matsumoto";"0";"1285657"
"1914083";"Q7976436";"nm0533098";"0";;"Wayne Mack";"0";NULL
"1926145";"Q7384044";"nm1658827";"0";;"Ryan Ellsworth";"0";NULL
"1938000";"Q112198364";"nm6123423";"1938000";;"Stefano Miraglia";"0";NULL
"1947579";"Q52618689";"nm3743244";"1947579";;"Laura Sépul";"0";NULL
"1959533";"Q138507145";"nm10967018";"0";;"Georgiy Chervinskiy";"0";NULL
"1962363";"Q138497694";"nm2363118";"0";;"Carlos M. Jimenez";"0";NULL
"1965380";"Q138505848";"nm0886794";"0";;"Delilah Warcup - van Eyck";"0";NULL
"1966327";"Q11727182";"nm1722022";"0";;"Jim Curran";"0";NULL
"1973700";"Q3298965";"nm4213429";"0";;"Mathilde Roehrich";"0";NULL
"1976772";"Q12613951";"nm1118820";"0";;"Jong-ho Lim";"0";NULL
"1992092";"Q17362678";"nm0399076";"0";;"Ray Wong Chi-Wai";"0";"4021860"
"1992422";"Q30951094";"nm7429250";"1992422";;"Kyle Li";"0";NULL
"2023731";"Q115943534";"nm8199448";"0";;"Ulrika Bäckström";"0";NULL
"2024839";"Q41805049";"nm6994786";"2024839";;"Kelly Bailey";"0";NULL
"2027825";"Q17198121";"nm4412876";"0";;"Brandon Easton";"0";NULL
"2050722";"Q5301961";"nm1421692";"0";;"Douglas Sarine";"0";NULL
"2063056";"Q138608807";"nm0791114";"2063056";;"Vladimir Shelestov";"0";NULL
"2065119";"Q109113176";"nm13031896";"0";;"Gadzhimurad Efendiev";"0";NULL
"2069286";"Q95189416";"nm5286746";"2069286";;"Anna-Sophia Lumpe";"0";NULL
"2069325";"Q115056992";"nm9637577";"0";;"Heidi Switch";"1";NULL
