"ID_SERIE";"ID_WIKIDATA";"ID_IMDB";"ID_WIKIDATA_SERIE";"ID_TMDB_WIKIDATA";"TITLE";"ADULT"
"15141";"Q3852011";"tt0096668";"0";;"The Nutt House";"0"
"15239";"Q5089354";"tt0770475";"0";;"Cheerleader Nation";"0"
"15554";"Q1256732";"tt10239224";"0";;"The Adventures of Little Carp";"0"
"16425";"Q454619";"tt0395050";"0";;"Mapping the World";"0"
"17225";"Q4535725";"tt0092378";"0";;"I'll Take Manhattan";"0"
"17364";"Q6550446";"tt0095242";"0";;"Lincoln";"0"
"17836";"Q943386";"tt0167872";"0";;"David Copperfield";"0"
"18011";"Q2997713";"tt0469247";"0";;"Vecinos";"0"
"18332";"Q5505825";"tt0041026";"0";;"Front Row Center";"0"
"18487";"Q750609";"tt1478503";"0";;"Survive This";"0"
"18824";"Q3323557";"tt1203167";"0";;"Moon Machines";"0"
"19505";"Q6683212";"tt0469713";"0";;"Los Reyes";"0"
"20727";"Q478032";"tt0210430";"0";;"La Mentira";"0"
"21145";"Q6980635";"tt0318912";"0";;"Natural World";"0"
"21502";"Q1498075";"tt1502749";"0";;"The Chase";"0"
"21571";"Q7077411";"tt0075548";"0";;"Odd Man Out";"0"
"21629";"Q7716825";"tt1484823";"0";;"The Best Thing I Ever Ate";"0"
"22493";"Q24993843";"tt0121026";"0";;"Spooner's Patch";"0"
"22587";"Q16539360";"tt0096558";"0";;"Christine Cromwell";"0"
"23076";"Q7653335";"tt1466797";"0";;"Swamp Loggers";"0"
"25114";"Q1211572";"tt0206516";"0";;"Tiger Mask";"0"
"25227";"Q5396899";"tt0069579";"0";;"Escape";"0"
"25407";"Q5175094";"tt0161137";"0";;"Costello";"0"
"25552";"Q4767136";"tt0075476";"0";;"Anna Karenina";"0"
"26127";"Q5142188";"tt1148750";"0";;"Cold Blood";"0"
"26473";"Q110565472";"tt10172818";"0";;"Mastermind Australia";"0"
"26777";"Q5105331";"tt2390334";"0";;"Chosen";"0"
"28962";"Q7641427";"tt0072571";"0";;"Sunshine";"0"
"29599";"Q113127668";"tt0112023";"0";;"Jake and The Kid";"0"
"31179";"Q954212";"tt0041038";"0";;"The Lone Ranger";"0"
"31205";"Q3744703";"tt0086776";"0";;"Partners in Crime";"0"
"31419";"Q7199707";"tt1204865";"0";;"Pixel Pinkie";"0"
"31838";"Q7152481";"tt1594953";"0";;"Paul Merton in Europe";"0"
"31967";"Q6844202";"tt1450143";"0";;"Mighty Ships";"0"
"32127";"Q7166319";"tt1627578";"0";;"Pepito Manaloto";"0"
"32455";"Q12009409";"tt0089363";"23143";;"Jamaica Inn";"0"
"32849";"Q7745969";"tt0078640";"0";;"The Last Resort";"0"
"32873";"Q7092494";"tt1623135";"0";;"One Born Every Minute";"0"
"35058";"Q112403";"tt1827882";"0";;"Property Brothers";"0"
"35932";"Q2062072";"tt0204767";"0";;"Deputy Dawg";"0"
"35954";"Q2306347";"tt0043234";"0";;"Space Patrol";"0"
"39803";"Q3317713";"tt1334573";"0";;"Moby Dick";"0"
"40805";"Q682172";"tt0463824";"0";;"K11 – Kommissare im Einsatz";"0"
"41059";"Q5151140";"tt1763422";"0";;"Come Dine with Me Canada";"0"
"41571";"Q1351744";"tt1680044";"0";;"One Step from Heaven";"0"
"41670";"Q900953";"tt2043616";"138827";;"Penance";"0"
"42506";"Q107011746";"tt2131768";"0";;"The Mystic Archives of Dantalian";"0"
"43193";"Q638590";"tt1565810";"0";;"Those Who Kill";"0"
"44208";"Q624312";"tt2269311";"0";;"Possessed";"0"
"44242";"Q3025493";"tt2226342";"0";;"Devious Maids";"0"
"44244";"Q7711976";"tt2345257";"0";;"The 70s";"0"
"44758";"Q7738650";"tt2148200";"0";;"The Half Hour";"0"
"45950";"Q124513541";"tt2230051";"0";;"High School D×D";"0"
"46268";"Q165739";"tt1877005";"0";;"Moonshiners";"0"
"46609";"Q2335309";"tt1782352";"0";;"Upstairs Downstairs";"0"
"46616";"Q3853767";"tt2521668";"0";;"The Returned";"0"
