"ID_PERSON";"ID_WIKIDATA";"ID_IMDB";"ID_WIKIDATA_PERSON";"ID_TMDB_WIKIDATA";"NAME";"ADULT";"ID_PERSON_ERASE_WIKIDATA_ID"
"2861";"Q5415089";"nm0464286";"2861";;"Eva Kolodner";"0";NULL
"5574";"Q95186417";"nm0060760";"5574";;"Janet Scott Batchler";"0";NULL
"6782";"Q20608671";"nm0260584";"6782";;"Debebe Eshetu";"0";NULL
"8480";"Q137656254";"nm0644791";"8480";;"Tamara Ogorodnikova";"0";NULL
"8616";"Q136814416";"nm0627495";"8616";;"Robert Nevin";"0";NULL
"9605";"Q20203432";"nm0691365";"9605";;"Vladimir Popov";"0";"1189122"
"9734";"Q1079125";"nm0126887";"9734";;"Christian Bérard";"0";NULL
"10563";"Q136542574";"nm0626990";"10563";;"Joan Neuman";"0";NULL
"13701";"Q4323615";"nm0637200";"13701";;"Ippolit Novoderyozhkin";"0";NULL
"13908";"Q138079071";"nm0469172";"13908";;"Krafft-Raschig";"0";NULL
"14809";"Q76995744";"nm0419427";"14809";;"Elena Jaumandreu";"0";NULL
"14921";"Q131689750";"nm0175068";"14921";;"Erwin Connelly";"0";NULL
"16292";"Q97237645";"nm1872776";"16292";;"Rhee Dah-hae";"0";NULL
"16698";"Q137908399";"nm0018446";"16698";;"Geraldine Alexander";"0";NULL
"18058";"Q11356450";"nm2434290";"18058";;"Sanae Miura";"0";NULL
"22316";"Q136656619";"nm2545315";"22316";;"Nancy Tate";"0";NULL
"23296";"Q64576219";"nm0503420";"23296";;"Thierry Leproust";"0";NULL
"25786";"Q136379940";"nm0224251";"25786";;"Rossana Di Rocco";"0";NULL
"27059";"Q95751210";"nm2547679";"27059";;"Claudia Cantero";"0";NULL
"27328";"Q131925579";"nm0688829";"27328";;"Linda Polan";"0";NULL
"29654";"Q1209793";"nm0004615";"29654";;"Dick Smith";"0";NULL
"31593";"Q132157977";"nm0149008";"31593";;"Martha Elena Cervantes";"0";NULL
"31965";"Q94813036";"nm0423357";"31965";;"Thomas Job";"0";NULL
"34128";"Q137342526";"nm0934349";"34128";;"Eric Wilton";"0";NULL
"34700";"Q124752094";"nm0456388";"34700";;"Denis Kirillov";"0";NULL
"37748";"Q95867265";"nm0559773";"37748";;"Giuseppe Mattei";"0";NULL
"38916";"Q133643497";"nm0282994";"38916";;"Jean-Jacques Flori";"0";NULL
"40504";"Q95782403";"nm1642590";"40504";;"Tobias Lenel";"0";NULL
"41857";"Q136631842";"nm0728980";"41857";;"Pierre Rival";"0";NULL
"41869";"Q136757078";"nm2564634";"41869";;"Irene Anula";"0";NULL
"42679";"Q63676";"nm1861418";"42679";;"Arne Friedrich";"0";NULL
"46025";"Q95209929";"nm0953187";"46025";;"Kathleen Gallego Zapata";"0";NULL
"46957";"Q55815086";"nm0056527";"0";;"John Barr";"0";NULL
"47996";"Q94744796";"nm0105911";"47996";;"Maria Brauner";"0";NULL
"50033";"Q11463186";"nm2110513";"50033";;"Yutaka Oda";"0";NULL
"51804";"Q133128239";"nm0045660";"51804";;"Michael Backes";"0";NULL
"52777";"Q137697223";"nm1876801";"52777";;"Jack Kaeding";"0";NULL
"54972";"Q3696450";"nm0330108";"54972";;"Dan Gordon";"0";NULL
"55261";"Q123760867";"nm0613687";"55261";;"Karmin Murcelo";"0";NULL
"55606";"Q95219139";"nm2631880";"55606";;"Einhardt Klucke";"0";NULL
"56072";"Q2846618";"nm2258268";"1211848";;"Andy Grieve";"0";"1211848"
"56507";"Q8008271";"nm0551976";"1213908";;"Bill Martin";"0";"1213908"
"57310";"Q3706774";"nm0858736";"57310";;"Diane Thomas";"0";NULL
"58089";"Q137609302";"nm0907002";"58089";;"Jeff Wald";"0";NULL
"59901";"Q101505276";"nm3406152";"59901";;"Tamara Mironova";"0";NULL
"60765";"Q3605630";"nm0730803";"0";;"Adrian Roberts";"0";NULL
"60904";"Q3434683";"nm0122853";"0";;"Rob Burns";"0";"2306873"
