"ID_SERIE";"ID_WIKIDATA";"ID_IMDB";"ID_WIKIDATA_SERIE";"ID_TMDB_WIKIDATA";"TITLE";"ADULT";"ID_SERIE_ERASE_WIKIDATA_ID"
"121";"Q39243428";"tt0056751";"0";;"Doctor Who";"0";NULL
"138";"Q6034473";"tt0115216";"0";;"Ink";"0";"58968"
"211";"Q1860044";"tt0772137";"0";;"The Game";"0";"61831"
"332";"Q1601158";"tt0316613";"0";;"Los simuladores";"0";"62302"
"426";"Q1348394";"tt0450208";"0";;"The Buzz on Maggie";"0";"127162"
"579";"Q694243";"tt0429318";"0";;"The Biggest Loser";"0";"25493"
"721";"Q978283";"tt0388595";"0";;"Extreme Makeover: Home Edition";"0";"100892"
"866";"Q7142877";"tt0197176";"0";;"Password Plus";"0";"28674"
"879";"Q205474";"tt0065272";"0";;"All My Children";"0";"48428"
"945";"Q1248480";"tt0056745";"0";;"Burke's Law";"0";"44187"
"1007";"Q868399";"tt0078635";"0";;"Mrs. Columbo";"0";NULL
"1151";"Q1638819";"tt0056752";"0";;"The Doctors";"0";"13771"
"1286";"Q4176031";"tt0259128";"0";;"BattleBots";"0";"62959"
"1387";"Q3055086";"tt0081857";"0";;"Entertainment Tonight";"0";"10399"
"1454";"Q626737";"tt0288960";"0";;"Hero";"0";"225682"
"1510";"Q608555";"tt0475047";"0";;"Hotel Babylon";"0";"110755"
"1831";"Q1548487";"tt0421099";"0";;"Grand Designs";"0";"65376"
"1991";"Q2299337";"tt0827947";"0";;"Rachael Ray";"0";"197400"
"1994";"Q2066628";"tt0367379";"0";;"Eve";"0";"138251"
"2039";"Q5701091";"tt0491281";"0";;"Heist";"0";"127643"
"2042";"Q3052933";"tt0200325";"0";;"Antiques Roadshow";"0";"234841"
"2141";"Q1305362";"tt0161204";"0";;"Two of a Kind";"0";"31524"
"2352";"Q464865";"tt0106080";"0";;"The Nanny";"0";"33126"
"2394";"Q7786191";"tt0078701";"0";;"This Old House";"0";"23545"
"2472";"Q7714064";"tt0450897";"0";;"The Apprentice";"0";"7408"
"2486";"Q975669";"tt0247849";"0";;"Andy Pandy";"0";"247934"
"2593";"Q826477";"tt0321021";"0";;"Without a Trace";"0";"39436"
"2652";"Q2113675";"tt0083428";"0";;"Herbie, the Love Bug";"0";"41737"
"2852";"Q2158865";"tt0499410";"0";;"That Mitchell and Webb Look";"0";"3887"
"3107";"Q5617763";"tt0177444";"0";;"Gullah Gullah Island";"0";NULL
"3241";"Q136673453";"tt0830445";"0";;"Suppli";"0";NULL
"3256";"Q2496957";"tt0086663";"0";;"All the Rivers Run";"0";"28012"
"4001";"Q5226338";"tt0418446";"0";;"You Are What You Eat";"0";"156446"
"4191";"Q12486413";"tt0488408";"17191";;"In the Womb";"0";"104224"
"4246";"Q679096";"tt0419322";"0";;"Evil Con Carne";"0";"897"
"4273";"Q6774315";"tt0465340";"0";;"Martha";"0";"39459"
"4460";"Q3934926";"tt0360307";"0";;"Richie Rich";"0";"3026"
"4618";"Q584745";"tt0801425";"0";;"Day Break";"0";"83478"
"4673";"Q7763104";"tt0046641";"0";;"The Secret Storm";"0";"239610"
"4723";"Q6116021";"tt0071001";"0";;"Jack the Ripper";"0";"47510"
"5151";"Q4927250";"tt0180342";"0";;"Blockbusters";"0";"4192"
"5173";"Q872948";"tt0048907";"0";;"To Tell the Truth";"0";"66784"
"5249";"Q5296721";"tt0167577";"0";;"Donny & Marie";"0";"3870"
"5451";"Q870278";"tt1244387";"0";;"Without Breasts There Is No Paradise";"0";"3988"
"5478";"Q5057729";"tt1249208";"0";;"Celebrity Family Feud";"0";"82108"
"5618";"Q727196";"tt0142036";"0";;"Escrava Isaura";"0";"13179"
"6031";"Q8000736";"tt0108990";"0";;"Wild Oats";"0";NULL
"6193";"Q668739";"tt0364806";"0";;"Extreme Engineering";"0";"39266"
"6275";"Q1249091";"tt0483603";"0";;"Egypt";"0";"87994"
"6332";"Q2282514";"tt0115215";"0";;"The Incredible Hulk";"0";"11328"
"6466";"Q2431690";"tt0050068";"0";;"Tic-Tac-Dough";"0";"35144"
"6468";"Q3486206";"tt1475528";"0";;"Skatoony";"0";NULL
"7147";"Q5435743";"tt1024887";"0";;"Farmer Wants a Wife";"0";"28887"
"7217";"Q1974208";"tt0451493";"0";;"Casados con Hijos";"0";"15394"
"7258";"Q331242";"tt0142045";"0";;"Pantanal";"0";"158415"
"7404";"Q7751921";"tt0270792";"0";;"The Mole";"0";"7858"
"7520";"Q7111239";"tt0090497";"0";;"Our World";"0";"70106"
"7615";"Q4812543";"tt0083380";"0";;"At the Movies";"0";"3836"
"7861";"Q5374003";"tt0055663";"0";;"Empire";"0";"133772"
"8465";"Q594422";"tt1232197";"0";;"Momma's Boys";"0";"231288"
"9765";"Q182713";"tt0106110";"0";;"Ready or Not";"0";"79228"
"9787";"Q7757984";"tt0103515";"0";;"The Powers That Be";"0";NULL
"9849";"Q1139174";"tt0460643";"0";;"Killer Instinct";"0";"67749"
"9882";"Q1754419";"tt0158443";"0";;"Yo! MTV Raps";"0";"203222"
"9895";"Q3235088";"tt0062601";"0";;"Rowan & Martin's Laugh-In";"0";"49898"
"9962";"Q7814726";"tt0108965";"0";;"Tom";"0";NULL
"10798";"Q3829022";"tt0075484";"0";;"Blansky's Beauties";"0";NULL
