"ID_MOVIE";"ID_WIKIDATA";"ID_IMDB";"ID_WIKIDATA_MOVIE";"ID_TMDB_WIKIDATA";"TITLE";"ADULT"
"1569779";"Q3986443";"tt0013030";"0";;"The Cowboy and the Lady";"0"
"1569846";"Q24883548";"tt0019149";"0";;"The Masked Angel";"0"
"1569848";"Q17027845";"tt1612094";"0";;"The Ride";"0"
"1569864";"Q19864360";"tt0018110";"0";;"The Love Thrill";"0"
"1569898";"Q19980013";"tt0005817";"0";;"Nur nicht heiraten";"0"
"1570009";"Q51278942";"tt0020275";"0";;"Pleasure Crazed";"0"
"1570033";"Q65069642";"tt0015350";"0";;"Soiled";"0"
"1570043";"Q65678112";"tt0134097";"0";;"The Show Girl";"0"
"1570058";"Q19926404";"tt0015090";"0";;"Love's Wilderness";"0"
"1570062";"Q23999915";"tt0304604";"0";;"The Quest for Freedom";"0"
"1570068";"Q3987502";"tt0018986";"0";;"The Heart of a Follies Girl";"0"
"1570093";"Q10369202";"tt0016328";"0";;"Secret Service Sanders";"0"
"1570097";"Q3484962";"tt0015334";"0";;"Single Wives";"0"
"1570109";"Q19867756";"tt0012695";"0";;"The Single Track";"0"
"1570110";"Q59725898";"tt0190100";"0";;"Two-Gun Betty";"0"
"1570113";"Q104878804";"tt0011218";"0";;"The Garter Girl";"0"
"1570114";"Q16615474";"tt0011857";"0";;"The Whisper Market";"0"
"1570115";"Q19880626";"tt0013272";"0";;"Island Wives";"0"
"1570240";"Q19363840";"tt4513022";"0";;"The Smash Brothers";"0"
"1570252";"Q17478838";"tt0167041";"0";;"Betty Be Good";"0"
"1570255";"Q3522154";"tt0015207";"0";;"The Painted Flapper";"0"
"1570257";"Q86530145";"tt0009959";"0";;"The Bramble Bush";"0"
"1570260";"Q63565888";"tt0016371";"0";;"Some Pun'kins";"0"
"1570263";"Q3521749";"tt0007014";"0";;"The Man from Bitter Roots";"0"
"1570264";"Q3987248";"tt0010172";"0";;"The Girl Problem";"0"
"1570265";"Q21183740";"tt0007618";"0";;"Aladdin from Broadway";"0"
"1570266";"Q54810361";"tt0011782";"0";;"The Tower of Jewels";"0"
"1570283";"Q19866637";"tt0007619";"0";;"Aladdin's Other Lamp";"0"
"1570284";"Q6152285";"tt0123922";"0";;"Jane Goes A-Wooing";"0"
"1570287";"Q19363922";"tt0010771";"0";;"The Third Kiss";"0"
"1570291";"Q3522072";"tt0005822";"0";;"The Old Folks at Home";"0"
"1570292";"Q18915082";"tt0010368";"0";;"Little Comrade";"0"
"1570294";"Q20715439";"tt0017718";"0";;"Burning Gold";"0"
"1570329";"Q63986512";"tt0166823";"0";;"Steele of the Royal Mounted";"0"
"1570331";"Q3859057";"tt0010471";"0";;"Miss Arizona";"0"
"1570463";"Q18708897";"tt0010976";"0";;"Babs";"0"
"1570470";"Q12375359";"tt14770628";"0";;"Stereo";"0"
"1570487";"Q104872276";"tt0130635";"0";;"Down Upon the Suwanee River";"0"
"1570578";"Q8073527";"tt1545757";"0";;"The Blue Mountains Part 2";"0"
"1570719";"Q7571879";"tt0008612";"0";;"Sowers and Reapers";"0"
"1570725";"Q57584328";"tt0016681";"0";;"Broadway Billy";"0"
"1570844";"Q17026940";"tt0323859";"0";;"Saattai illatha Pambaram";"0"
"1570979";"Q5581561";"tt1191904";"0";;"Gone Fishing";"0"
"1571177";"Q19363629";"tt0205128";"0";;"His Debt";"0"
"1571196";"Q17478836";"tt0158490";"0";;"The Beggar Prince";"0"
"1571272";"Q17478975";"tt0010283";"0";;"The Illustrious Prince";"0"
"1571275";"Q17400169";"tt0187752";"0";;"The Brand of Lopez";"0"
"1571280";"Q18915010";"tt0008049";"0";;"Hashimura Togo";"0"
"1571325";"Q13564977";"tt0122173";"0";;"Mere Sapno Ki Rani";"0"
"1571334";"Q24807869";"tt0149609";"0";;"Aisi Bhi Kya Jaldi Hai";"0"
"1571341";"Q20649170";"tt0013130";"0";;"Five Days to Live";"0"
"1571347";"Q20081457";"tt0008145";"0";;"The Jaguar's Claws";"0"
"1571348";"Q16248334";"tt0006343";"0";;"Alien Souls";"0"
"1571616";"Q21868855";"tt0011768";"0";;"3 Gold Coins";"0"
"1571624";"Q13101774";"tt1463447";"0";;"Bonobo";"0"
"1571863";"Q3925889";"tt0010601";"0";;"Puppy Love";"0"
"1571864";"Q3989130";"tt0009578";"0";;"The Savage Woman";"0"
"1571871";"Q13469234";"tt0010483";"0";;"More Deadly Than the Male";"0"
"1571878";"Q4657031";"tt0010171";"0";;"A Girl Named Mary";"0"
"1571881";"Q18464067";"tt0183911";"0";;"The Trail of the Shadow";"0"
"1571883";"Q24905532";"tt0009665";"0";;"A Successful Adventure";"0"
"1571884";"Q51756489";"tt0008303";"0";;"Miss Robinson Crusoe";"0"
"1571886";"Q17478839";"tt0006428";"0";;"The Big Sister";"0"
"1572087";"Q16250777";"tt0010175";"0";;"Girls";"0"
"1572147";"Q3986299";"tt0012053";"0";;"The City of Silent Men";"0"
"1572149";"Q56241162";"tt4830834";"0";;"The Duchess of Doubt";"0"
"1572153";"Q18149868";"tt0190393";"0";;"A Favor to a Friend";"0"
"1572154";"Q20076579";"tt0010136";"0";;"Fools and Their Money";"0"
"1572155";"Q26720543";"tt0009869";"0";;"The Amateur Adventuress";"0"
"1572156";"Q7766687";"tt0007398";"0";;"The Storm";"0"
"1572158";"Q62595478";"tt0196706";"0";;"Live Sparks";"0"
"1572160";"Q21752730";"tt0009654";"0";;"Stolen Honor";"0"
"1572162";"Q10264478";"tt0014837";"0";;"Days of '49";"0"
"1572164";"Q86847769";"tt0152485";"0";;"Smoldering Embers";"0"
"1572165";"Q27957914";"tt0015707";"0";;"Counsel for the Defense";"0"
"1572166";"Q27997219";"tt0015503";"0";;"The Wise Virgin";"0"
"1572167";"Q56045065";"tt0010303";"0";;"The Island of Intrigue";"0"
"1572378";"Q117530501";"tt7528992";"1522272";;"Europa: The Last Battle";"0"
"1572387";"Q56290560";"tt0010182";"0";;"The Gold Cure";"0"
"1572393";"Q18150295";"tt0008017";"0";;"God's Law and Man's";"0"
"1572405";"Q56241164";"tt0008166";"0";;"Lady Barnacle";"0"
"1572443";"Q41229269";"tt0006691";"0";;"The Flower of No Man's Land";"0"
"1572446";"Q18150206";"tt0006711";"0";;"The Gates of Eden";"0"
