"ID_MOVIE";"ID_WIKIDATA";"ID_IMDB";"ID_WIKIDATA_MOVIE";"ID_TMDB_WIKIDATA";"TITLE";"ADULT";"ID_MOVIE_ERASE_WIKIDATA_ID"
"10570";"Q1429114";"tt0091060";"10570";"";"Flodder";"0";NULL
"39893";"Q1891905";"tt0059496";"39893";"";"The Nanny";"0";NULL
"48489";"Q2353378";"tt0783798";"48489";"";"The Sin";"0";NULL
"92983";"Q4157228";"tt0056982";"92983";"Q4157228)";"Strictly Business";"0";NULL
"136488";"Q22126745";"tt2073156";"136488";"";"Friends After 3.11";"0";NULL
"170924";"Q3842093";"tt0095562";"170924";"";"Macho Dancer";"0";NULL
"183167";"Q3424148";"tt0206877";"183167";"";"Lava Kusa";"0";NULL
"188991";"Q133798572";"tt0087419";"188991";"";"Hollywood Out-takes and Rare Footage";"0";NULL
"247804";"Q4101699";"tt0267079";"0";"";"It's Easy to Fall Into an Overgrown Ditch";"0";NULL
"263657";"Q17332519";"tt0369238";"263657";"";"Annamitta Kai";"0";NULL
"271829";"Q7543926";"tt0258972";"271829";"";"The Smart Alec";"1";NULL
"280281";"Q16254831";"tt10295714";"280281";"";"Thulli Thirintha Kaalam";"0";NULL
"298079";"Q139575617";"tt30831455";"0";"";"Dead End";"0";NULL
"321396";"Q42296322";"tt1679562";"321396";"";"Die drei Gesichter der Tamara Bunke";"0";NULL
"344171";"Q20800656";"tt3675896";"344171";"";"Unto the Dusk";"0";NULL
"356486";"Q21427738";"tt3201722";"356486";"";"Lumberjack Man";"0";NULL
"370026";"Q12125823";"tt28335360";"0";"";"Looney Tunes Golden Collection, Vol. 3";"0";"237378"
"381047";"Q24706770";"tt5448436";"381047";"";"Hit It Hard";"0";NULL
"391533";"Q26905037";"tt5809594";"0";"";"The Click Effect";"0";NULL
"404121";"Q23689523";"tt0042633";"404121";"";"Der keusche Adam";"0";NULL
"477759";"Q66818297";"tt7336278";"477759";"";"Power Bangers: A Brazzers XXX Parody";"1";NULL
"502070";"Q27590605";"tt13796564";"502070";"";"Super Da";"0";NULL
"512015";"Q119888036";"tt1090197";"512015";"";"Die dritte Frau";"0";NULL
"527280";"Q58058644";"tt7339938";"527280";"";"You Are the Apple of My Eye";"0";NULL
"565796";"Q4443369";"tt0072220";"565796";"";"Strange Adults";"0";NULL
"637107";"Q4230744";"tt0067312";"0";"";"The End of the Lyubavines";"0";NULL
"638311";"Q4183377";"tt0094366";"638311";"";"Mysterious Heir";"0";NULL
"638766";"Q54999677";"tt4860014";"0";"";"Fun for Old People";"0";NULL
"642127";"Q66547421";"tt0172235";"642127";"";"Vessel of Patience";"0";NULL
"693843";"Q139573831";"tt12459348";"0";"";"DAU. Conformists";"0";NULL
"710885";"Q110368488";"tt10716326";"0";"";"André Rieu - Das große Konzert 2019";"0";NULL
"714613";"Q4327835";"tt6141182";"0";"";"Night of the Mistakes";"0";NULL
"720704";"Q3320026";"tt0314393";"0";"";"My Eye for a Camera";"0";NULL
"747079";"Q3602740";"tt1429312";"747079";"";"A Small Town Idol";"0";"175441"
"795272";"Q27962557";"tt10146432";"795272";"";"La forteresse de verre";"0";NULL
"871035";"Q3297713";"tt3699762";"871035";"";"Whorrey Potter and the Sorcerer's Balls";"1";"565225"
"1116727";"Q133890468";"tt28004898";"0";"";"Resistance Climbing";"0";NULL
"1157108";"Q18345941";"tt0155875";"0";"";"Missi";"0";NULL
"1157859";"Q5118402";"tt0154328";"0";"";"Chuvanna Vithukal";"0";NULL
"1164339";"Q136558784";"tt38350671";"0";"";"I Go to School";"0";NULL
"1176145";"Q3859375";"tt0172807";"0";"";"Master Nikifor";"0";NULL
"1188378";"Q18359230";"tt0279156";"0";"";"Jeevikkan Marannupoya Sthree";"0";NULL
"1199013";"Q17500794";"tt21633714";"0";"";"The City of Motels";"0";NULL
"1204142";"Q4418286";"tt0275874";"0";"";"Siberian Grandfather";"0";NULL
"1297066";"Q4367603";"tt2104966";"1297066";"";"The Spyglass";"0";NULL
"1321040";"Q16948966";"tt0200531";"1321040";"";"The Stork";"0";NULL
"1360978";"Q5090339";"tt0240407";"0";"";"Chemparathy";"0";NULL
"1374372";"Q138637946";"tt34677638";"0";"";"On the Border";"0";NULL
"1451344";"Q137843012";"tt36876775";"0";"";"Husbands in Action";"0";NULL
"1504066";"Q122143513";"tt26900526";"1323756";"";"EMESIS BLUE";"1";NULL
"1519066";"Q29167612";"tt6189898";"0";"";"Apenas Reflejos";"0";NULL
"1559088";"Q122143513";"tt26900526";"1323756";"";"Emesis Blue";"1";NULL
"1591972";"Q138808930";"tt38934461";"0";"";"Blood Moon Rite 8";"0";NULL
"1597451";"Q122143513";"tt26900526";"1323756";"";"Emesis Blue";"1";NULL
"1632519";"Q138507596";"tt0000101";"0";"";"PUDAMI";"1";NULL
"1696550";"Q30898387";"tt6878760";"0";"";"Alien: Covenant - Prologue - The Crossing";"0";NULL
"1699943";"Q27057092";"tt6078872";"0";"";"21";"0";NULL
"1700262";"Q23301316";"tt6471072";"0";"";"Tainted Heroes";"0";NULL
"1700378";"Q6166628";"tt1289446";"0";"";"We Gotta Get Buscemi";"0";NULL
"1700529";"Q115388053";"tt23810972";"1388466";"";"Died Suddenly";"0";NULL
"1700729";"Q7862671";"tt0259667";"0";"";"Tôjûrô no koi";"0";NULL
"1700793";"Q110740256";"tt5017060";"0";"";"Maigret's Dead Man";"0";NULL
"1700908";"Q136310216";"tt36111675";"1502987";"";"The Colour Orange";"0";NULL
"1700960";"Q131267189";"tt0410373";"0";"";"The Newsy and the Tramp";"0";NULL
"1701171";"Q120335222";"tt0052035";"0";"";"Ôsaka no onna";"0";NULL
"1701907";"Q4996727";"tt0031030";"0";"";"Bulldog Sees It Through";"0";NULL
"1702153";"Q109428628";"tt0034508";"0";"";"Boyevoy kinosbornik 10";"0";NULL
"1702373";"Q120335098";"tt2321248";"0";"";"Danshun";"0";NULL
"1702408";"Q30633245";"tt0315314";"0";"";"Botschafter der Musik";"0";NULL
"1702442";"Q28152945";"tt3324212";"0";"";"Reich werden im Irak - Kapitalismus für Anfänger";"0";NULL
"1702604";"Q94700342";"tt0456358";"0";"";"Crits Sords";"0";NULL
"1702705";"Q17103727";"tt1631371";"0";"";"Menschenliebe";"0";NULL
"1702729";"Q12129736";"tt1933671";"0";"";"Trial by Self";"0";NULL
"1702819";"Q1192521";"tt1178622";"0";"";"Der Bibelcode";"0";NULL
"1703001";"Q106718787";"tt2175905";"0";"";"Pride of the East";"0";NULL
"1703131";"Q3416105";"tt0197440";"0";"";"Europa: Operazione Strip-tease";"0";NULL
"1703275";"Q11751247";"tt0353637";"0";"";"Korrierët";"0";NULL
"1703309";"Q7407688";"tt0480261";"0";"";"Sam Jackson's Secret Video Diary";"0";NULL
"1703317";"Q52084096";"tt0008798";"0";"";"Your Obedient Servant";"0";NULL
"1703660";"Q3641190";"tt0000813";"0";"";"Bluebeard";"0";NULL
"1703688";"Q18343542";"tt0352733";"0";"";"Ponnu";"0";NULL
"1703692";"Q15111064";"tt0208264";"0";"";"Little Red Riding Hood";"0";NULL
"1703755";"Q123269093";"tt18291520";"0";"";"The active city";"0";NULL
"1704024";"Q11622141";"tt0108468";"0";"";"Usureyuku kioku no nakade";"0";NULL
"1704242";"Q4019628";"tt0007563";"0";"";"Whom the Gods Destroy";"0";NULL
"1704260";"Q20729188";"tt0172795";"0";"";"Michel Simon";"0";NULL
"1704384";"Q1764309";"tt1554113";"1425975";"";"东方快车谋杀案";"0";NULL
"1704434";"Q4660341";"tt10006424";"0";"";"Walt Disney's A Trip Through the Walt Disney Studios";"0";NULL
"1704451";"Q27590248";"tt0039241";"0";"";"Capitan Demonio";"0";NULL
"1704452";"Q20493841";"tt0129057";"0";"";"Man's Greatest Adversary";"0";NULL
"1704464";"Q5054753";"tt0041234";"0";"";"Cavalcata d'eroi";"0";NULL
"1704491";"Q28670967";"tt0041344";"0";"";"Il falco rosso";"0";NULL
"1704625";"Q12124726";"tt1396474";"0";"";"Heart of Texas";"0";NULL
"1704626";"Q20493857";"tt2308104";"0";"";"The Power of Love";"0";NULL
"1704643";"Q17017152";"tt0273699";"0";"";"Kaatrinile Varum Geetham";"0";NULL
"1704808";"Q30890056";"tt0041365";"0";"";"La figlia del peccato";"0";NULL
"1704812";"Q3791114";"tt0041743";"0";"";"I peggiori anni della nostra vita";"0";NULL
"1704817";"Q58546161";"tt0041815";"0";"";"La roccia incantata";"0";NULL
"1704829";"Q3941107";"tt0041820";"0";"";"Rondini in volo";"0";NULL
"1704835";"Q16248176";"tt0281384";"0";"";"Echchil Iravugal";"0";NULL
"1704839";"Q7131166";"tt0240787";"0";"";"Panimudakku";"0";NULL
"1704893";"Q18351797";"tt0281984";"0";"";"Makkal";"0";NULL
"1704898";"Q3128899";"tt1685532";"0";"";"Hazlitt in Love";"0";NULL
"1704902";"Q5091416";"tt0233433";"0";"";"Chennaaya Valarthiya Kutty";"0";NULL
"1704939";"Q12998470";"tt0265865";"0";"";"Tharam Marindi";"0";NULL
"1705032";"Q12973322";"tt0273408";"0";"";"Achchani";"0";NULL
"1705056";"Q12927095";"tt0274992";"0";"";"Tripurasundari";"0";NULL
"1705100";"Q125790354";"tt31595995";"1408811";"";"Midnight";"0";NULL
"1705104";"Q43081881";"tt0025487";"0";"";"Melodía prohibida";"0";NULL
"1705143";"Q114210114";"tt0012058";"0";"";"Cold Steel";"0";NULL
"1705300";"Q3020295";"tt0216980";"0";"";"De Bote en Bote";"0";NULL
"1705501";"Q12346648";"tt0052763";"0";"";"Due sorelle amano";"0";NULL
"1705565";"Q128601194";"tt0757996";"0";"";"Klay World: Off the Table";"0";NULL
"1705698";"Q124691278";"tt31522294";"0";"";"Soviet Ukraine";"0";NULL
"1705727";"Q2839084";"tt0291718";"0";"";"Almanach";"0";NULL
"1705803";"Q7283316";"tt0282888";"0";"";"Rahasyam";"0";NULL
"1705811";"Q12978904";"tt0290415";"0";"";"Anbalippu";"0";NULL
"1705950";"Q18693068";"tt0040198";"0";"";"Calamita d'oro";"0";NULL
"1705951";"Q60464870";"tt0037723";"0";"";"Fuga nella tempesta";"0";NULL
"1705986";"Q18690430";"tt0041366";"0";"";"La figlia della Madonna";"0";NULL
"1706002";"Q30740088";"tt5560314";"0";"";"Murder in Grasse";"0";NULL
"1706007";"Q24933386";"tt5621834";"0";"";"Murder in l Ile de Re";"0";NULL
"1706036";"Q3742275";"tt0038525";"0";"";"Felicità perduta";"0";NULL
"1706175";"Q97663747";"tt19010598";"0";"";"Советская Латвия";"0";NULL
"1706631";"Q72066752";"tt13119110";"0";"";"Murder in The Land of The Cathars";"0";NULL
"1706636";"Q30740958";"tt6620264";"0";"";"Murder in Strasbourg";"0";NULL
"1706640";"Q65127644";"tt9297276";"0";"";"Murder in The Morvan";"0";NULL
"1706770";"Q88872071";"tt3765020";"0";"";"Amiet";"0";NULL
"1706977";"Q19892457";"tt0316092";"0";"";"Kannathal";"0";NULL
"1707082";"Q5620530";"tt31538505";"0";"";"Guru Paarvai";"0";NULL
"1707095";"Q24905890";"tt33269145";"0";"";"Annan Thangachi";"0";NULL
