"ID_MOVIE";"ID_WIKIDATA";"ID_IMDB";"ID_WIKIDATA_MOVIE";"ID_TMDB_WIKIDATA";"TITLE";"ADULT";"ID_MOVIE_ERASE_WIKIDATA_ID"
"10570";"Q1429114";"tt0091060";"10570";"";"Flodder";"0";NULL
"28378";"Q139948048";"tt0094760";"28378";"";"The Blizzard of AAHHH's";"0";NULL
"39568";"Q140003989";"tt0117767";"39568";"";"A Study in Sex";"1";NULL
"39633";"Q140047379";"tt0313432";"39633";"";"Operation Sex Siege";"1";NULL
"39893";"Q1891905";"tt0059496";"39893";"";"The Nanny";"0";NULL
"46626";"Q139813863";"tt0174676";"46626";"";"Gang Busters";"0";NULL
"48166";"Q139970987";"tt1821409";"48166";"";"Dorcel Airlines: Paris/New York";"1";NULL
"48489";"Q2353378";"tt0783798";"48489";"";"The Sin";"0";NULL
"60639";"Q139889071";"tt0074367";"60639";"";"Shaolin Kung-Fu Mystagogue";"0";NULL
"68717";"Q139762241";"tt1582574";"68717";"";"Performers of the Year 2010";"1";NULL
"75368";"Q139894418";"tt1289660";"75368";"";"This Ain't the Munsters XXX";"1";NULL
"92983";"Q4157228";"tt0056982";"92983";"Q4157228)";"Strictly Business";"0";NULL
"133139";"Q139840873";"tt2575930";"133139";"";"One Night Stand";"0";NULL
"136488";"Q22126745";"tt2073156";"136488";"";"Friends After 3.11";"0";NULL
"160818";"Q139789931";"tt0184286";"160818";"";"Blue Jeans";"1";NULL
"170924";"Q3842093";"tt0095562";"170924";"";"Macho Dancer";"0";NULL
"183167";"Q3424148";"tt0206877";"183167";"";"Lava Kusa";"0";NULL
"188991";"Q133798572";"tt0087419";"188991";"";"Hollywood Out-takes and Rare Footage";"0";NULL
"200475";"Q139889425";"tt2679326";"200475";"";"Russian Institute 18: The Headmistress";"1";NULL
"219297";"Q139914056";"tt0203624";"219297";"";"Kiss Tomorrow Goodbye";"0";NULL
"250804";"Q139845440";"tt0068159";"250804";"";"The 72 Desperate Rebels";"0";NULL
"255208";"Q139822511";"tt1556219";"255208";"";"Shaolin Kung Fu";"0";NULL
"269096";"Q106716871";"tt0163638";"269096";"";"Galapagos - Trauminsel im Pazifik";"0";NULL
"271829";"Q7543926";"tt0258972";"271829";"";"The Smart Alec";"1";NULL
"273951";"Q24932170";"tt4053858";"273951";"";"At the Zoo - Repair!";"0";NULL
"274145";"Q15271022";"tt2572000";"274145";"";"It Happened in Winter";"0";NULL
"277949";"Q7423412";"tt0267907";"0";"";"Saravarsham";"0";NULL
"278418";"Q136436781";"tt0383165";"278418";"";"...And Plays Tricks";"0";NULL
"281157";"Q139827909";"tt2006269";"281157";"";"The Incredible Hulk XXX: A Porn Parody";"1";NULL
"281212";"Q139829168";"tt2294481";"281212";"";"American Werewolf in London XXX Porn Parody";"1";NULL
"284572";"Q117322759";"tt0199723";"284572";"";"The Love Box";"0";NULL
"286528";"Q140071236";"tt0027580";"0";"";"My Life Is at Stake";"0";NULL
"287427";"Q139700739";"tt3799578";"287427";"";"The Pornographer";"1";NULL
"290405";"Q106717584";"tt0103366";"290405";"";"Billy, How Did You Do It?";"0";NULL
"300560";"Q139694129";"tt1097243";"300560";"";"Hearts";"0";NULL
"302139";"Q48674492";"tt0254996";"0";"";"Bhama Vijayam";"0";NULL
"318708";"Q55634198";"tt10820322";"318708";"";"Summer of the Seventeenth Doll";"0";NULL
"321235";"Q22974570";"tt0334753";"321235";"";"Desire";"0";NULL
"321396";"Q42296322";"tt1679562";"321396";"";"Die drei Gesichter der Tamara Bunke";"0";NULL
"327463";"Q139720646";"tt0179495";"327463";"";"Two Women";"1";NULL
"331226";"Q6750845";"tt13776468";"331226";"";"Mannin Maindhan";"0";NULL
"334880";"Q139766422";"tt0149767";"334880";"";"Backside to the Future";"1";NULL
"347388";"Q139769252";"tt2535920";"347388";"";"Damage";"0";NULL
"349730";"Q16262015";"tt0330141";"349730";"";"Can't Forget the First Love";"0";NULL
"349845";"Q22974815";"tt0330480";"349845";"";"Free Woman";"0";NULL
"350023";"Q65260744";"tt0330844";"350023";"";"An Amourous Woman";"0";NULL
"350493";"Q21060303";"tt0311368";"350493";"";"Impotent Village";"0";NULL
"350515";"Q16724992";"tt0329647";"350515";"";"My Love Sun-ja";"0";NULL
"354371";"Q140055176";"tt0113021";"354371";"";"A Family Divided";"0";NULL
"355039";"Q139840862";"tt7466786";"355039";"";"Keep [Breed - Her Inside Me]";"0";NULL
"356486";"Q21427738";"tt3201722";"356486";"";"Lumberjack Man";"0";NULL
"371659";"Q11387590";"tt3335054";"371659";"";"We'll Keep Walking, That's All";"0";NULL
"375786";"Q111031179";"tt5290196";"375786";"";"American Curious";"0";NULL
"390142";"Q139709698";"tt5723898";"390142";"";"Sexbots";"1";NULL
"390148";"Q139898785";"tt0020630";"390148";"";"All Teed Up";"0";NULL
"402410";"Q139913469";"tt0230113";"402410";"";"Cómo aman los chilenos";"0";NULL
"404121";"Q23689523";"tt0042633";"404121";"";"Der keusche Adam";"0";NULL
"412910";"Q139986126";"tt0020881";"412910";"";"Fifty Million Husbands";"0";NULL
"416550";"Q139840864";"tt6078052";"416550";"";"Delicious Sex Delicious Imagine 2";"0";NULL
"417974";"Q139840816";"tt8620002";"417974";"";"Female Workers: Romance At Work";"0";NULL
"420427";"Q140048435";"tt33846189";"420427";"";"Mae Nak Phra Khanong";"0";NULL
"423502";"Q139840806";"tt7360646";"423502";"";"My Friend's Mom";"0";NULL
"428605";"Q139840798";"tt6381764";"428605";"";"Prostitution";"0";NULL
"435667";"Q139710216";"tt5435524";"435667";"";"Adriana Chechik: The Ultimate Slut";"1";NULL
"437027";"Q139840786";"tt7331464";"437027";"";"My Husband's Tutor";"0";NULL
"438607";"Q139840772";"tt10090580";"438607";"";"Flirty-zel";"0";NULL
"444143";"Q139840768";"tt16058768";"444143";"";"A Unique Movie";"0";NULL
"444148";"Q139840715";"tt7389740";"444148";"";"Deep Story";"0";NULL
"444985";"Q139840765";"tt12945880";"444985";"";"Wife's Friend Reunion";"0";NULL
"447759";"Q139840764";"tt13039100";"447759";"";"Adult Only Institute";"0";NULL
"450636";"Q139840758";"tt31889182";"450636";"";"Chained - The Seduction of Two Women";"0";NULL
"455132";"Q139866294";"tt7630620";"455132";"";"Claire, Desires of Submission";"1";NULL
"455450";"Q1561870";"tt0085777";"455450";"";"Catherine, the Naked Queen";"1";"455452"
"458085";"Q139840750";"tt12625380";"458085";"";"Swapping Wives";"0";NULL
"459044";"Q140066979";"tt6835866";"0";"";"Ela - Sketches on a Departure";"0";NULL
"461132";"Q140009082";"tt7444808";"461132";"";"The Beksińskis. A Sound and Picture Album";"0";NULL
"465595";"Q139840736";"tt12937574";"465595";"";"Sweet Sex";"0";NULL
"465606";"Q139840757";"tt7370656";"465606";"";"My Friend's Husband";"0";NULL
"475233";"Q139709366";"tt7645022";"475233";"";"Jessica Drake Is Wicked";"1";NULL
"475286";"Q139820792";"tt0408788";"475286";"";"Flesh Hunter 5";"1";NULL
"477759";"Q66818297";"tt7336278";"477759";"";"Power Bangers: A Brazzers XXX Parody";"1";NULL
"479212";"Q139840702";"tt8914118";"479212";"";"My Uncle's Wife";"0";NULL
"482059";"Q139840735";"tt13975156";"482059";"";"My Girlfriend's Mother";"0";NULL
"482191";"Q139840792";"tt7497326";"482191";"";"Her Deep Love Affair - Director's Cut";"0";NULL
"482207";"Q139840827";"tt8504860";"482207";"";"Challenge Game";"0";NULL
"484123";"Q113564507";"tt0091674";"0";"";"The Dragon Hunt";"0";NULL
"496502";"Q139851500";"tt4501612";"496502";"";"AIDS: What You Haven't Been Told";"0";NULL
"498116";"Q139840649";"tt12625360";"498116";"";"Lady's Tasty Sex";"0";NULL
"502237";"Q139840681";"tt8665184";"502237";"";"Good Mom";"0";NULL
"506127";"Q139830246";"tt1408977";"506127";"";"Pink Motherland";"0";NULL
"506713";"Q50821741";"tt8065148";"506713";"";"English";"0";NULL
"508081";"Q139840769";"tt18280248";"508081";"";"Young Mom";"0";NULL
"508816";"Q140042299";"tt1696207";"508816";"";"Otro entre otros";"0";NULL
"511642";"Q139840609";"tt10097966";"511642";"";"Female Hostel 2";"0";NULL
"512015";"Q119888036";"tt1090197";"512015";"";"Die dritte Frau";"0";NULL
"514073";"Q12190775";"tt0862935";"0";"";"The Diver";"0";NULL
"518470";"Q139714670";"tt6855230";"518470";"";"Acid";"0";NULL
"519219";"Q12925502";"tt0263384";"519219";"";"Gnana Kuzhandhai";"0";NULL
"527280";"Q58058644";"tt7339938";"527280";"";"You Are the Apple of My Eye";"0";NULL
"532573";"Q106737450";"tt0174768";"0";"";"And There Was Evening, And There Was Morning";"0";NULL
"533731";"Q140047312";"tt0185435";"533731";"";"Looker";"1";NULL
"534171";"Q139838788";"tt28306432";"534171";"";"Purpose of Reunion 2";"0";NULL
"536059";"Q139800688";"tt6850968";"536059";"";"Angel of Anywhere";"0";NULL
"536097";"Q124518151";"tt8707622";"536097";"";"Rogue Trooper";"0";NULL
"538340";"Q139840536";"tt9691228";"538340";"";"Erotic Model";"0";NULL
"542023";"Q139679673";"tt8888008";"542023";"";"Abigail";"1";NULL
"542026";"Q109428551";"tt0174191";"542026";"";"The Secret of Beauty";"0";NULL
"543805";"Q139684001";"tt6876170";"543805";"";"Caligari in the Desert";"0";NULL
"548808";"Q56360972";"tt7897316";"548808";"";"The Misunderstanding";"0";"977560"
"558477";"Q140057214";"tt0097039";"558477";"";"The Chameleon";"1";NULL
"559638";"Q139840582";"tt12945318";"559638";"";"An Affair: My Wife's Friend";"0";NULL
"568341";"Q55633261";"tt14685368";"0";"";"Sinjar";"0";NULL
"574116";"Q139840677";"tt12625228";"574116";"";"Fairy Beauty Shop";"0";NULL
"585866";"Q140041171";"tt7954194";"585866";"";"Map of Latin American Dreams";"0";NULL
"588924";"Q126702155";"tt2159218";"588924";"";"Members Only";"1";NULL
"592936";"Q139840416";"tt12945094";"592936";"";"Mother's Lover 2";"0";NULL
"599979";"Q139970997";"tt13424180";"599979";"";"Dorcel Airlines: Sexual Stopovers";"1";NULL
"604061";"Q61672489";"tt7976370";"0";"";"Keeping & saving or how to live";"0";NULL
"607397";"Q139840412";"tt10102008";"607397";"";"Young Mom 2";"0";NULL
"610931";"Q139789833";"tt0125924";"610931";"";"Maxine";"1";NULL
"615653";"Q139916030";"tt0231850";"615653";"";"The Fankony Cafe";"0";NULL
"619206";"Q16125390";"tt0318855";"0";"";"El-Zolm Haraam";"0";NULL
"621202";"Q101245309";"tt9468550";"621202";"";"Bolot Feray";"0";NULL
"636231";"Q139901474";"tt0255002";"636231";"";"Business in Balkan";"0";NULL
"638547";"Q13156634";"tt0307000";"0";"";"Name";"0";NULL
"643830";"Q139857631";"tt0072832";"643830";"";"Crossfire";"0";NULL
"652575";"Q139840272";"tt12936856";"652575";"";"Young Sister-in-Law 5";"0";NULL
"653127";"Q139840365";"tt12945636";"653127";"";"Female Hostel 3";"0";NULL
"656958";"Q139840354";"tt11885358";"656958";"";"Room Salon College Girls 2";"0";NULL
"665142";"Q139841978";"tt12587782";"665142";"";"Young Aunt 3";"0";NULL
"665328";"Q139711166";"tt3767138";"665328";"";"Flashes rouges";"0";NULL
"669138";"Q139720745";"tt0230304";"669138";"";"Honorable Discharge";"1";NULL
"679057";"Q139841925";"tt18480484";"679057";"";"Bosomy Tae-hee";"0";NULL
"687003";"Q139841901";"tt12587456";"687003";"";"Stepmother's Purpose";"0";NULL
"688302";"Q139841897";"tt13255788";"688302";"";"Housekeeper";"0";NULL
"698779";"Q139841876";"tt12944304";"698779";"";"Room Salon College Girls 3";"0";NULL
"698816";"Q139840446";"tt18479974";"698816";"";"Upper Class Generation";"0";NULL
"699151";"Q139841930";"tt18501788";"699151";"";"Little Sister";"0";NULL
"699161";"Q139841970";"tt12987672";"699161";"";"A Nice Housekeeper";"0";NULL
"700559";"Q139840756";"tt10102182";"700559";"";"Tutor - Secret Lesson on Tasty Sex";"0";NULL
"700865";"Q139840300";"tt21932342";"700865";"";"Sister-In-Law's Diary";"0";NULL
"700979";"Q139840544";"tt13039074";"700979";"";"Friend's Mothers";"0";NULL
"701573";"Q139838789";"tt24348266";"701573";"";"An Affair: Cheating Housewives - Director's Cut";"0";NULL
"701952";"Q139840512";"tt13975082";"701952";"";"My Girlfriend's Mother 2";"0";NULL
"702277";"Q139840507";"tt38267554";"702277";"";"Eve's Cheeky Talk";"0";NULL
"702775";"Q139840546";"tt10102228";"702775";"";"Boarding House Girls";"0";NULL
"703496";"Q139841959";"tt18227740";"703496";"";"Sister War";"0";NULL
"704876";"Q139841898";"tt18375192";"704876";"";"Seducing Country Girl";"0";NULL
"706468";"Q65322362";"tt0176248";"706468";"";"Konaté's Gift";"0";NULL
"706518";"Q139841852";"tt12588094";"706518";"";"Business Trip Massage: Excited Ladies 2";"0";NULL
"707610";"Q139841861";"tt12625176";"707610";"";"Bosomy Mom";"0";NULL
"712929";"Q16836917";"tt5832724";"712929";"";"En Iniya Pon Nilavae";"0";NULL
"714880";"Q139840850";"tt7412398";"714880";"";"The Sister Next Door";"0";NULL
"716498";"Q139974833";"tt12721936";"716498";"";"Mariska, Desires of Submission";"1";NULL
"716586";"Q139840473";"tt14337182";"716586";"";"National Sexuality Management Committee";"0";NULL
"717132";"Q139841828";"tt12987802";"717132";"";"Let's Go To The Rose Motel 4";"0";NULL
"720237";"Q139841762";"tt12944288";"720237";"";"Three Sisters Secret Sex Partner";"0";NULL
"722156";"Q139841778";"tt12936930";"722156";"";"The World of Adultery";"0";NULL
"724106";"Q139841771";"tt12952208";"724106";"";"R-Rated Idol Seung-ha's Sex Scandal";"0";NULL
"730497";"Q139841755";"tt12944158";"730497";"";"18 Year Old Seungha's Easy Piece of Cake";"0";NULL
"731159";"Q139841724";"tt12937172";"731159";"";"Female Boss Hooker";"0";NULL
"731809";"Q139841743";"tt18375568";"731809";"";"Tasty Aunt";"0";NULL
"736091";"Q139841748";"tt13464168";"736091";"";"Sexy Neighbor Sisters";"0";NULL
"739806";"Q139841737";"tt18480528";"739806";"";"Spare Daughter-in-law";"0";NULL
"739808";"Q139841834";"tt18479912";"739808";"";"Sister's Neighbor";"0";NULL
