"ID_PERSON";"ID_WIKIDATA";"ID_IMDB";"ID_WIKIDATA_PERSON";"ID_TMDB_WIKIDATA";"NAME";"ADULT";"ID_PERSON_ERASE_WIKIDATA_ID"
"7886";"Q139418501";"nm0829466";"7886";"";"Jim Stewart";"0";NULL
"19171";"Q140374004";"nm0915232";"19171";"";"Roy Watts";"0";NULL
"21484";"Q2912542";"nm0021112";"21484";"";"Todd Allen";"0";"4076923"
"29654";"Q1209793";"nm0004615";"29654";"";"Dick Smith";"0";NULL
"46609";"Q3430982";"nm0500377";"42057";"";"Ted Leighton";"0";"42057"
"63422";"Q15838501";"nm0494628";"63422";"";"Philippe Le Sourd";"0";NULL
"67021";"Q140365998";"nm0731445";"67021";"";"Nancy Roberts";"0";NULL
"69357";"Q539359";"nm0055266";"69357";"";"Maude Barlow";"0";NULL
"97848";"Q140362940";"nm1378380";"97848";"";"Michelle Michaels";"1";NULL
"103697";"Q110089556";"nm0271039";"103697";"";"Gene Feldman";"0";NULL
"104167";"Q140320712";"nm0241693";"104167";"";"Rod Dumont";"1";NULL
"104529";"Q140399740";"nm0443818";"104529";"";"Ras Kean";"1";NULL
"104551";"Q140320982";"nm0222868";"104551";"";"Dory Devon";"1";NULL
"104552";"Q140321114";"nm0971395";"104552";"";"Alexandria Case";"1";NULL
"106858";"Q140369959";"nm1340853";"106858";"";"Cailey Taylor";"1";NULL
"124668";"Q6808667";"nm0367636";"124668";"";"Megan Taylor Harvey";"0";NULL
"124855";"Q3435044";"nm0254609";"124855";"";"Robert Elliott";"0";NULL
"126342";"Q5561957";"nm0040780";"126342";"";"Nick Atkinson";"0";"2924920"
"132803";"Q11369159";"nm2759146";"4092504";"";"Tomohiro Kubo";"0";"4092504"
"138020";"Q133716336";"nm0669733";"138020";"";"Tony Peck";"0";NULL
"141394";"Q140316536";"nm0881065";"141394";"";"Richard Unekis";"0";NULL
"142796";"Q140389375";"nm2266439";"142796";"";"Wildy";"1";NULL
"150400";"Q140030516";"nm0476221";"150400";"";"Toyomi Kusano";"0";NULL
"154621";"Q140373330";"nm0534642";"154621";"";"Sharon Madden";"0";NULL
"190370";"Q140383280";"nm1537854";"190370";"";"Joe Monti";"1";NULL
"194367";"Q16104657";"nm0263255";"194367";"";"Terry Evans";"0";NULL
"220118";"Q137299234";"nm1264549";"220118";"";"Benjamin Petry";"0";NULL
"224013";"Q140362906";"nm0911484";"224013";"";"David Ward";"0";NULL
"545130";"Q65335445";"nm0375079";"545130";"";"Gunnar Helgason";"0";NULL
"550236";"Q140389386";"nm1751450";"550236";"";"Sunny Jay";"1";NULL
"555579";"Q11632731";"nm1147118";"554163";"";"Koji Taniguchi";"0";"554163"
"558317";"Q140320730";"nm0409200";"558317";"";"David Innis";"1";NULL
"558327";"Q140320710";"nm0830943";"558327";"";"Hope Stockton";"1";NULL
"566672";"Q11672243";"nm4132661";"566672";"";"Masahiro Takata";"0";"2464449"
"574339";"Q139623148";"nm0391073";"0";"";"David Stanley";"1";NULL
"582951";"Q138998817";"nm3319751";"582951";"";"Emmanuelle Mayer ";"0";NULL
"587333";"Q140388962";"nm1651227";"587333";"";"George Reno";"1";NULL
"998584";"Q140359279";"nm3646390";"998584";"";"Jonathan del Val";"0";NULL
"1025540";"Q140320992";"nm1835656";"1025540";"";"Eddy Cannon";"1";NULL
"1031616";"Q140371284";"nm4202813";"1031616";"";"Holden Backus";"0";NULL
"1041630";"Q7330038";"nm0934868";"1041630";"";"R. Winer";"0";NULL
"1048180";"Q22256457";"nm0824783";"69178";"";"Ole Steen";"0";"69178"
"1058147";"Q140363498";"nm0218774";"1058147";"";"Tom Dempsey";"0";NULL
"1060081";"Q28749126";"nm2922572";"1060081";"";"Johnny Pemberton";"0";NULL
"1075550";"Q140323367";"nm0677669";"1075550";"";"Carmelo Petix";"1";NULL
"1078056";"Q140386357";"nm0659387";"1078056";"";"Bang Hee";"0";NULL
"1111532";"Q140363467";"nm0886648";"1111532";"";"Mildred Van Dorn";"0";NULL
"1111669";"Q140320932";"nm0206227";"1111669";"";"Pete Dawson";"1";NULL
"1116462";"Q18638080";"nm6050704";"0";"";"Niti Taylor";"0";NULL
"1117286";"Q98844872";"nm0568298";"1117286";"";"John Herbert McDowell";"0";NULL
"1131195";"Q4157391";"nm3293566";"1131195";"";"Andrey Dementev";"0";"1169026"
"1134599";"Q140388945";"nm1821666";"1134599";"";"Charlie Stygger";"1";NULL
"1135656";"Q140371127";"nm2371185";"1135656";"";"Jasmina Berber";"1";NULL
"1143401";"Q16211199";"nm0914942";"1143401";"";"Alan Watt";"0";"1230543"
"1157946";"Q140322562";"nm2127368";"1157946";"";"Marissa Jayden";"1";NULL
"1158122";"Q140323283";"nm1202791";"1158122";"";"Michelle Greco";"1";NULL
"1160255";"Q140372085";"nm0624594";"1160255";"";"Gregory Niebel";"0";NULL
"1169045";"Q15071123";"nm0501188";"2912025";"";"Aleksandr Lemberg";"0";"2912025"
"1174565";"Q140371196";"nm2528662";"1174565";"";"Stephanie Sierra";"1";NULL
"1179167";"Q33125388";"nm1914318";"1179167";"";"Michael Cheritto";"1";NULL
"1187939";"Q117746269";"nm0947779";"1187939";"";"Yeung Chi Kin";"0";NULL
"1189691";"Q45201002";"nm0952858";"1189691";"";"Diāna Zande";"0";NULL
"1205398";"Q2154479";"nm1470001";"1205398";"";"Rinus Michels";"0";NULL
"1252826";"Q140381316";"nm1179380";"1252826";"";"Theodora Voutsa";"0";NULL
"1253315";"Q56035992";"nm0951939";"1253315";"";"Jenny Zaharopoulou";"0";NULL
"1263529";"Q140325435";"nm0431864";"1263529";"";"Rainer Judd";"0";NULL
"1264681";"Q62601428";"nm4301980";"1264681";"";"Yuki Kimura";"0";"2721102"
"1275181";"Q140323318";"nm1941410";"1275181";"";"Tristan Ott";"0";NULL
"1279901";"Q140312627";"nm0161071";"1279901";"";"Choi Young-chul";"0";NULL
"1282246";"Q140323475";"nm1347251";"1282246";"";"Reda";"1";NULL
"1288635";"Q140310629";"nm1637843";"1288635";"";"Jay Sin";"1";NULL
"1295045";"Q140315103";"nm0385056";"1295045";"";"Gordon Malherbe Hillman";"0";NULL
"1295417";"Q20445094";"nm4535657";"1295417";"";"Kim Jong-soo";"0";NULL
"1299281";"Q69697161";"nm4300257";"2482161";"";"Park Min-jeong";"0";"2482161"
"1307304";"Q140321129";"nm5579344";"1307304";"";"David Bertok";"0";NULL
"1314665";"Q111659360";"nm5159826";"1314665";"";"Anastasiya Kasilova";"0";NULL
"1314860";"Q16837254";"nm5325802";"3342204";"";"Jordi Roca";"0";"3342204"
"1317109";"Q115631889";"nm3796682";"1317109";"";"Aris Kaplanidis";"0";NULL
"1327509";"Q124704068";"nm0865618";"1327509";"";"Valdur Tohera";"0";NULL
"1330692";"Q30082983";"nm5686622";"1330692";"";"Mohamed Saïd Hafifi";"0";"947663"
"1341751";"Q76505232";"nm0398867";"1524323";"";"Hu Bingliu";"0";"1524323"
"1355942";"Q140362981";"nm2135908";"1355942";"";"Arnita Champion";"0";NULL
"1361777";"Q56816554";"nm0031770";"1361777";"";"Ismail Anzour";"0";NULL
"1366358";"Q23815354";"nm0172258";"1366358";"";"David Collins";"0";NULL
"1374817";"Q140405609";"nm3778567";"1374817";"";"Christoffer Olofsson";"0";NULL
"1377056";"Q140316541";"nm0275333";"1377056";"";"Lori Fetrick";"0";NULL
"1380346";"Q63413348";"nm0132367";"1380346";"";"David Campbell";"0";"45357"
"1380655";"Q139605161";"nm0553818";"1380655";"";"Johnny Martini";"0";NULL
"1385109";"Q40523485";"nm4738997";"1385109";"";"Kristian Fjord";"0";NULL
"1387727";"Q140376285";"nm6671482";"0";"";"Alexander Bhat";"0";NULL
"1390067";"Q11393692";"nm2961603";"1390067";"";"Yuki Hyôdô";"0";NULL
"1392161";"Q140314223";"nm3983355";"1392161";"";"Alex Victor";"1";NULL
"1393935";"Q140376514";"nm4080394";"0";"";"Jasper Gude";"1";NULL
"1400067";"Q114760906";"nm2174826";"1400067";"";"Eduardo Guillot";"0";NULL
"1405223";"Q95163352";"nm2102445";"1405223";"";"Yukiko Yamamuro";"0";NULL
"1418612";"Q4321483";"nm0632554";"1418612";"";"Boris Nirenburg";"0";NULL
"1419114";"Q140409073";"nm0236927";"1419114";"";"Jessica Drake";"0";NULL
"1424327";"Q22070229";"nm2931326";"1424327";"";"Van Neistat";"0";NULL
"1433703";"Q140407039";"nm0156311";"1433703";"";"C.L. Chester";"0";NULL
"1442532";"Q12221734";"nm0850764";"1442532";"";"Taroub";"0";NULL
"1446504";"Q140357267";"nm0787625";"1446504";"";"Nazih Shakbander";"0";NULL
"1448110";"Q118137835";"nm1571612";"0";"";"Price Hall";"0";NULL
"1452391";"Q6811310";"nm3346060";"1452391";"";"Melanie Marnich";"0";NULL
"1476328";"Q139304302";"nm0239546";"1476328";"";"Vladimir Dubrovskiy";"0";NULL
"1479878";"Q547039";"nm2406693";"1479878";"";"Simon Schaffer";"0";"3996642"
"1481399";"Q95711924";"nm0697087";"1481399";"";"Paula Price";"1";NULL
"1483585";"Q25432200";"nm1228169";"0";"";"Lluïsa Mallol";"0";NULL
"1483709";"Q3218005";"nm0252517";"1483709";"";"Larrio Ekson";"0";NULL
"1489505";"Q61137068";"nm0631582";"0";"";"Zurab Nizharadze";"0";NULL
"1490976";"Q83972956";"nm5236736";"1490976";"";"Curtis Bowers";"0";NULL
"1491642";"Q1901715";"nm0679430";"1491642";"";"Markus Pfeiffer";"0";NULL
"1496007";"Q115767404";"nm3591133";"1496007";"";"Timo Wright";"0";NULL
"1496026";"Q19664222";"nm0809727";"1496026";"";"Rob Smith";"0";NULL
"1500723";"Q28176887";"nm0775838";"1500723";"";"Viktoria Schubert";"0";NULL
"1519534";"Q140383419";"nm2447272";"1519534";"";"Yulia Bright";"1";NULL
"1520774";"Q140371010";"nm2439642";"1520774";"";"Vito Corleone";"1";NULL
"1524703";"Q138478754";"nm0365256";"1524703";"";"Randy Paul";"1";NULL
"1526343";"Q140344183";"nm0485399";"1526343";"";"Joy Lane";"0";NULL
"1540434";"Q3154927";"nm0304662";"0";"";"Isabelle Ganz";"0";NULL
"1544238";"Q124167870";"nm4602998";"0";"";"Isiah Donté Lee";"0";NULL
"1552230";"Q113620998";"nm6635044";"1552230";"";"Amy Wild";"1";NULL
"1561969";"Q4074978";"nm0046211";"0";"";"Vladimir Badov";"0";NULL
"1564725";"Q113613007";"nm5367867";"1564725";"";"Amber Daikiri";"1";NULL
"1577660";"Q140414538";"nm0044003";"1577660";"";"Nancy Martin";"1";NULL
"1577665";"Q140402292";"nm1427755";"1577665";"";"Adam Ward";"1";NULL
"1596511";"Q117862017";"nm3849218";"0";"";"Jean-Baptiste Saurel";"0";NULL
"1611614";"Q24640139";"nm2847100";"0";"";"Tiffany Hsiung";"0";NULL
"1637640";"Q27972206";"nm5507466";"1637640";"";"Maarten Van Cauwenberghe";"0";NULL
"1645486";"Q140320994";"nm0528102";"0";"";"Jeff Lyle";"1";NULL
"1667776";"Q140362960";"nm7617051";"0";"";"Michelle Martinez";"1";NULL
"1686187";"Q133822526";"nm2630168";"1686187";"";"Walkiria Drumond";"1";NULL
"1711954";"Q113585861";"nm0266024";"0";"";"Scott Falconer";"0";NULL
"1715520";"Q131837586";"nm5453172";"0";"";"Thomas Gjutarenäfve";"0";NULL
"1728296";"Q2381353";"nm0847042";"60757";"";"Yumi Takada";"0";"60757"
"1744060";"Q111650228";"nm8176068";"1744060";"";"Neha Shetty";"0";NULL
"1750024";"Q3305134";"nm0551049";"0";"";"Melissa Marshall";"0";NULL
"1754597";"Q125853107";"nm4594726";"1754597";"";"Lena Góra";"0";NULL
"1763962";"Q5948601";"nm7195020";"1763962";"";"Stefan Levin";"0";NULL
"1772800";"Q140320999";"nm1154322";"1772800";"";"David Williams";"1";NULL
"1790108";"Q21066872";"nm2983851";"0";"";"Klayton Stainer";"0";NULL
"1796587";"Q22690418";"nm1097780";"0";"";"Nihal Khateeb";"0";NULL
"1801423";"Q111205379";"nm0665883";"0";"";"Kay Patrick";"0";NULL
"1808996";"Q140399742";"nm1892980";"1808996";"";"David Savage";"1";NULL
"1809108";"Q3341002";"nm1927176";"0";"";"Nicole Avril";"0";"77445"
"1813254";"Q140384005";"nm8609647";"1813254";"";"Kiera Milward";"0";NULL
"1819812";"Q12228672";"nm8669437";"1819812";"";"Antar Hellal";"0";NULL
"1828456";"Q20578650";"nm1338919";"0";"";"Fausto J. Galauran";"0";NULL
"1845904";"Q140414533";"nm0746696";"1845904";"";"Gene Rowland";"1";NULL
"1856874";"Q139604056";"nm8909144";"1856874";"";"Sizi Sev";"1";NULL
"1866435";"Q22574276";"nm0780634";"0";"";"Edward Seamon";"0";NULL
"1878081";"Q139411250";"nm1597592";"1878081";"";"Mike Metropolis";"1";NULL
"1906756";"Q140383343";"nm2398659";"1906756";"";"Suzan Wenera";"1";NULL
"1906759";"Q113646363";"nm2902882";"1906759";"";"Aneta Head";"1";NULL
"1907923";"Q134546049";"nm3677930";"1907923";"";"Pia Edlund";"0";NULL
"1909096";"Q11716906";"nm3260981";"0";"";"Jan Aleksandrowicz-Krasko";"0";NULL
"1909428";"Q140399739";"nm2541210";"1909428";"";"Cedar Houston";"1";NULL
"1910617";"Q118780177";"nm7595796";"1910617";"";"Freya Kreutzkam";"0";NULL
"1916655";"Q134309085";"nm1058693";"1916655";"";"Kim Jeong-jin";"0";NULL
"1949258";"Q5411491";"nm1613152";"1949258";"";"Felicia Tang";"1";NULL
"1967357";"Q2978072";"nm4572476";"1967357";"";"Claude Robinson";"0";NULL
"1972070";"Q140389687";"nm8788432";"1972070";"";"Honami Yano";"0";NULL
"1987431";"Q140383462";"nm9431458";"1987431";"";"Hiam Hilal";"0";NULL
"1992092";"Q17362678";"nm0399076";"0";"";"Ray Wong Chi-Wai";"0";"4021860"
"2043657";"Q140406407";"nm0742925";"2043657";"";"Dmitry Roshchin";"0";NULL
"2055881";"Q140358219";"nm9659485";"2055881";"";"Myra Sareen";"0";NULL
"2063543";"Q136384838";"nm9784021";"2063543";"";"Leo Phoenix";"0";NULL
"2063906";"Q138819717";"nm8668610";"2063906";"";"Pyotr Skladchikov";"0";NULL
"2067169";"Q16181874";"nm3106324";"0";"";"Yang Ki-ju";"0";NULL
"2069325";"Q115056992";"nm9637577";"0";"";"Heidi Switch";"1";NULL
"2088240";"Q104722430";"nm6568986";"2088240";"";"Yang Tongshu";"0";"3012427"
"2090523";"Q135265345";"nm9250842";"0";"";"Caolan Robertson";"0";NULL
"2095427";"Q132523523";"nm5012861";"2095427";"";"Alex Thorne";"0";NULL
"2117460";"Q140320958";"nm1259820";"2117460";"";"Barbara Daniels";"1";NULL
"2146381";"Q107627250";"nm5091845";"2146381";"";"Jessica Neight";"1";NULL
"2165711";"Q113624011";"nm6526249";"2165711";"";"Ananta Shakti";"1";NULL
"2176367";"Q140382896";"nm2355703";"2176367";"";"Roxanne Keys";"1";NULL
"2177178";"Q11720848";"nm1571377";"0";"";"Jarosław Góral";"0";NULL
