"ID_PERSON";"ID_WIKIDATA";"ID_IMDB";"ID_WIKIDATA_PERSON";"ID_TMDB_WIKIDATA";"NAME";"ADULT";"ID_PERSON_ERASE_WIKIDATA_ID"
"29654";"Q1209793";"nm0004615";"29654";"";"Dick Smith";"0";NULL
"30283";"Q136640557";"nm0949635";"30283";"";"Jack Young";"0";NULL
"46609";"Q3430982";"nm0500377";"42057";"";"Ted Leighton";"0";"42057"
"62768";"Q8005891";"nm0068587";"62768";"";"William Brent Bell";"0";NULL
"63422";"Q15838501";"nm0494628";"63422";"";"Philippe Le Sourd";"0";NULL
"82510";"Q41675114";"nm0240821";"0";"";"Michael Dugan";"0";NULL
"101924";"Q139937740";"nm0706371";"101924";"";"Thomas Raft";"1";NULL
"102043";"Q140032966";"nm0942612";"102043";"";"Maggie Wright";"0";NULL
"104540";"Q139995555";"nm0213411";"104540";"";"Debbie Revenge";"1";NULL
"115061";"Q94753256";"nm0597162";"115061";"";"Lilli Molnar";"0";NULL
"124855";"Q3435044";"nm0254609";"124855";"";"Robert Elliott";"0";NULL
"126342";"Q5561957";"nm0040780";"126342";"";"Nick Atkinson";"0";"2924920"
"132803";"Q11369159";"nm2759146";"4092504";"";"Tomohiro Kubo";"0";"4092504"
"137086";"Q140004034";"nm2784234";"137086";"";"Aniko Kaposi";"1";NULL
"137103";"Q140004367";"nm0120193";"137103";"";"Cataline Bullocks";"1";NULL
"189494";"Q140047582";"nm0103029";"189494";"";"Greg Bradford";"1";NULL
"220118";"Q137299234";"nm1264549";"220118";"";"Benjamin Petry";"0";NULL
"224573";"Q134285918";"nm0866702";"224573";"";"Maria Toming";"0";NULL
"235135";"Q12410323";"nm2278625";"0";"";"Irit Kaplan";"0";NULL
"555579";"Q11632731";"nm1147118";"554163";"";"Koji Taniguchi";"0";"554163"
"566672";"Q11672243";"nm4132661";"566672";"";"Masahiro Takata";"0";"2464449"
"592399";"Q139980317";"nm0275563";"592399";"";"Herbert Fiala";"0";NULL
"934930";"Q37793126";"nm0766935";"934930";"";"Rai Sanders";"0";NULL
"936495";"Q139913511";"nm0243718";"936495";"";"Mark Duran";"1";NULL
"992068";"Q7668657";"nm8387953";"0";"";"T. S. Durairaj";"0";NULL
"1003974";"Q139939330";"nm1340505";"1003974";"";"Thomas Lundy";"1";NULL
"1017576";"Q7387668";"nm1253090";"1017576";"";"S. M. Subbaiah Naidu";"0";NULL
"1060081";"Q28749126";"nm2922572";"1060081";"";"Johnny Pemberton";"0";NULL
"1073903";"Q2049482";"nm2042619";"0";"";"Luc Schaedler";"0";NULL
"1103870";"Q115776322";"nm0103708";"1103870";"";"Patti Brady";"0";NULL
"1131195";"Q4157391";"nm3293566";"1131195";"";"Andrey Dementev";"0";"1169026"
"1136766";"Q139964349";"nm2119738";"1136766";"";"Tai Liang";"0";NULL
"1163181";"Q108552653";"nm0401210";"0";"";"Hui So-Ying";"0";NULL
"1169045";"Q15071123";"nm0501188";"2912025";"";"Aleksandr Lemberg";"0";"2912025"
"1172419";"Q140011404";"nm5158849";"1172419";"";"Max Casanova";"1";NULL
