"ID_PERSON";"ID_WIKIDATA";"ID_IMDB";"ID_WIKIDATA_PERSON";"ID_TMDB_WIKIDATA";"NAME";"ADULT";"ID_PERSON_ERASE_WIKIDATA_ID"
"11862";"Q134954633";"nm0822617";"11862";"";"Michael Stanley-Evans";"0";NULL
"25896";"Q139815191";"nm0208637";"25896";"";"Ricardo de Gracia";"0";NULL
"29361";"Q139849810";"nm0860821";"29361";"";"Victoria Thompson";"0";NULL
"29654";"Q1209793";"nm0004615";"29654";"";"Dick Smith";"0";NULL
"46609";"Q3430982";"nm0500377";"42057";"";"Ted Leighton";"0";"42057"
"63422";"Q15838501";"nm0494628";"63422";"";"Philippe Le Sourd";"0";NULL
"91335";"Q139793582";"nm2280429";"91335";"";"Jason S. Gray";"0";NULL
"95527";"Q95878020";"nm0870150";"95527";"";"Leo Townsend";"0";NULL
"102037";"Q121337203";"nm0277612";"102037";"";"Harry Fine";"0";NULL
"110621";"Q3087396";"nm3120590";"110621";"";"Freidoune Sahebjam";"0";NULL
"120774";"Q139663588";"nm0247126";"120774";"";"James Eagles";"0";NULL
"124855";"Q3435044";"nm0254609";"124855";"";"Robert Elliott";"0";NULL
"126207";"Q280856";"nm0454377";"126207";"";"King George VI of the United Kingdom";"0";NULL
"126342";"Q5561957";"nm0040780";"126342";"";"Nick Atkinson";"0";"2924920"
"130284";"Q6374804";"nm1996508";"130284";"";"Minami Aiyama";"0";NULL
"132803";"Q11369159";"nm2759146";"4092504";"";"Tomohiro Kubo";"0";"4092504"
"139399";"Q139738033";"nm2363157";"139399";"";"Deep Threat";"1";NULL
"148069";"Q271995";"nm0609882";"148069";"";"Edwina Mountbatten";"0";NULL
"149116";"Q139827754";"nm0064194";"149116";"";"Bunny Beatty";"0";NULL
"202725";"Q139771153";"nm0134179";"202725";"";"David Cannon";"1";NULL
"209545";"Q139715507";"nm0506991";"209545";"";"Bubba Lewis";"0";NULL
"220118";"Q137299234";"nm1264549";"220118";"";"Benjamin Petry";"0";NULL
"224680";"Q139882139";"nm0453578";"224680";"";"Kim Gi-yeon";"0";NULL
"231826";"Q113514854";"nm0363837";"0";"";"Dante Harper";"0";NULL
"231962";"Q139771726";"nm0482167";"231962";"";"Lisa Lake";"1";NULL
"273601";"Q139815118";"nm0146073";"273601";"";"Michael Cates";"1";NULL
"525135";"Q139885435";"nm3512325";"525135";"";"Rusty Martin Sr.";"0";NULL
"551557";"Q139622878";"nm1024608";"551557";"";"Shinobu Igarashi";"1";NULL
"554000";"Q6789568";"nm0952926";"554000";"";"Matt Zane";"1";NULL
"554983";"Q17230415";"nm2731639";"554983";"";"Risa Mizuki";"1";NULL
"555579";"Q11632731";"nm1147118";"554163";"";"Koji Taniguchi";"0";"554163"
"558816";"Q139802013";"nm0354864";"558816";"";"Maria Tortuga";"1";NULL
"566061";"Q138773286";"nm2526422";"566061";"";"Winnie";"1";NULL
"566672";"Q11672243";"nm4132661";"566672";"";"Masahiro Takata";"0";"2464449"
"568925";"Q136699450";"nm0912303";"568925";"";"Vibeke Warlev";"0";NULL
"569938";"Q131198719";"nm5246957";"569938";"";"Iva Babić";"0";NULL
"572576";"Q139799555";"nm1503740";"572576";"";"Johnny Fender";"1";NULL
"574339";"Q139623148";"nm0391073";"0";"";"David Stanley";"1";NULL
"587653";"Q11478736";"nm4149530";"587653";"";"Emiko Kawamura";"0";NULL
"827378";"Q139830273";"nm1543910";"827378";"";"Stephen Wallis";"0";NULL
"933189";"Q760043";"nm0559541";"933189";"";"Miku Matsumoto";"0";NULL
"936608";"Q139844467";"nm4168089";"936608";"";"Riley Jensen";"1";NULL
"968708";"Q24706281";"nm2632504";"0";"";"Bert Marcus";"0";NULL
"975967";"Q139720234";"nm3045493";"975967";"";"Bella Ling";"1";NULL
"980265";"Q95896432";"nm2750021";"980265";"";"Mete Gümürhan";"0";NULL
"992579";"Q139789690";"nm0220292";"992579";"";"Greg Derek";"1";NULL
"1013256";"Q118646071";"nm0867133";"1013256";"";"Gianrico Tondinelli";"0";NULL
"1060081";"Q28749126";"nm2922572";"1060081";"";"Johnny Pemberton";"0";NULL
"1079626";"Q138782537";"nm0086854";"1079626";"";"Ruble Blakey";"0";NULL
"1083031";"Q2005919";"nm1782187";"0";"";"Joanne Catherall";"0";NULL
"1083032";"Q2623943";"nm1782331";"0";"";"Susan Ann Sulley";"0";NULL
"1098444";"Q16079889";"nm1030520";"1098444";"";"Hyeong-chul Kim";"0";NULL
"1102417";"Q11354997";"nm5196702";"1102417";"";"Katsuyuki Miyake";"0";NULL
"1108941";"Q9323930";"nm5396478";"1108941";"";"Mei Itoya";"0";NULL
"1111191";"Q139766445";"nm2728144";"1111191";"";"Rio Nakamura";"1";NULL
"1116035";"Q131357990";"nm1043587";"0";"";"Casey Walker";"0";NULL
"1125676";"Q125918949";"nm0072491";"1125676";"";"Frank Benson";"0";NULL
"1127373";"Q152094";"nm0874746";"1127373";"";"Czarina Alexandra Feodorovna";"0";NULL
"1131195";"Q4157391";"nm3293566";"1131195";"";"Andrey Dementev";"0";"1169026"
"1135861";"Q139865733";"nm1127953";"1135861";"";"Yeo Su-Jin";"0";NULL
"1136870";"Q139859975";"nm0314830";"1136870";"";"Sue Anne Gershenson";"0";NULL
"1149183";"Q139858146";"nm0119347";"1149183";"";"Diana De Curtis";"0";NULL
"1150195";"Q95755071";"nm6207210";"1150195";"";"Kathrine Valen Zeiner";"0";NULL
"1160588";"Q139792307";"nm3926070";"1160588";"";"Clément Brun";"0";NULL
"1169045";"Q15071123";"nm0501188";"2912025";"";"Aleksandr Lemberg";"0";"2912025"
"1174117";"Q53106240";"nm5589087";"1174117";"";"Massoumeh Lahidji";"0";NULL
"1176195";"Q139892766";"nm0905114";"1176195";"";"Kirsty Waay";"1";NULL
"1243706";"Q7369468";"nm1853329";"0";"";"Ross Lee";"0";NULL
"1250300";"Q1341956";"nm3029484";"0";"";"Joey Chestnut";"0";NULL
"1263876";"Q138763122";"nm1311412";"1263876";"";"Andrea Spinks";"1";NULL
"1264681";"Q62601428";"nm4301980";"1264681";"";"Yuki Kimura";"0";"2721102"
"1268663";"Q40043996";"nm11785376";"1268663";"";"Meirin";"1";NULL
"1276839";"Q95734744";"nm5221389";"1276839";"";"Alice Girard";"0";NULL
"1278567";"Q139846157";"nm4989644";"1278567";"";"Olivia Rose-Aaron";"0";NULL
"1278634";"Q139885363";"nm1591340";"1278634";"";"David Brown Jr.";"0";NULL
"1280706";"Q139825796";"nm0525211";"1280706";"";"David Luger";"1";NULL
"1287406";"Q139891605";"nm5276696";"0";"";"Neetasha Singh";"0";NULL
"1295417";"Q20445094";"nm4535657";"1295417";"";"Kim Jong-soo";"0";NULL
"1298477";"Q138913502";"nm4022062";"0";"";"David Anaxagoras";"0";NULL
"1299281";"Q69697161";"nm4300257";"2482161";"";"Park Min-jeong";"0";"2482161"
"1301469";"Q16264139";"nm8637610";"1301469";"";"Ruka Ichinose";"1";NULL
"1301583";"Q135153411";"nm0357673";"1301583";"";"Elaine Hamill";"0";NULL
"1303581";"Q2636607";"nm1481808";"0";"";"Jaime Maussan";"0";NULL
"1314860";"Q16837254";"nm5325802";"3342204";"";"Jordi Roca";"0";"3342204"
"1326282";"Q134877632";"nm0493104";"1326282";"";"James Lawrie";"0";NULL
"1329663";"Q139820815";"nm0591912";"1329663";"";"David Mir";"0";NULL
"1342459";"Q57666";"nm0750081";"1342459";"";"Queen Marie of Rumania";"0";NULL
"1349292";"Q139826303";"nm1487428";"1349292";"";"Missy Maramara";"0";NULL
"1350923";"Q130381677";"nm2081989";"1350923";"";"Janno-Hans Arro";"0";NULL
"1355031";"Q139844969";"nm4944004";"1355031";"";"Valerie Fox";"1";NULL
"1363022";"Q26197312";"nm1308428";"0";"";"Mark Llewellyn";"0";NULL
"1363207";"Q110824051";"nm1463773";"0";"";"Sekou Hamilton";"0";NULL
"1365638";"Q133735801";"nm3694147";"1365638";"";"Saman Amini";"0";NULL
"1366358";"Q23815354";"nm0172258";"1366358";"";"David Collins";"0";NULL
"1367478";"Q139709759";"nm5911634";"1367478";"";"Moe Johnson";"1";NULL
"1370927";"Q3385414";"nm1143377";"1370927";"";"Pierre Hahn";"0";NULL
"1376368";"Q139709001";"nm4808215";"1376368";"";"Dirk Huge";"1";NULL
"1380346";"Q63413348";"nm0132367";"1380346";"";"David Campbell";"0";"45357"
"1383170";"Q16980120";"nm3338324";"1383170";"";"Ben O'Brien";"0";NULL
"1402270";"Q11482043";"nm2927083";"1402270";"";"Hideko Hirai";"0";NULL
"1409105";"Q139827746";"nm5600319";"1409105";"";"Mora Arenillas";"0";NULL
"1413381";"Q66430586";"nm3037257";"0";"";"Héctor Holten";"0";NULL
"1413513";"Q30914390";"nm0306496";"1413513";"";"Santiago García";"0";NULL
"1418612";"Q4321483";"nm0632554";"1418612";"";"Boris Nirenburg";"0";NULL
"1421538";"Q27460736";"nm1151537";"0";"";"M. R. R. Vasu";"0";NULL
"1424327";"Q22070229";"nm2931326";"1424327";"";"Van Neistat";"0";NULL
"1424432";"Q95211756";"nm2162785";"1424432";"";"Johanna Schwartz";"0";NULL
"1430744";"Q139754200";"nm0175666";"1430744";"";"Jan Conrad";"0";NULL
"1432450";"Q11263068";"nm1670532";"3300456";"";"Omiya no Matsu";"0";NULL
"1438268";"Q139782456";"nm0606312";"1438268";"";"Mitch Morrill";"1";NULL
"1447963";"Q6828603";"nm1963536";"0";"";"Michael Berlyn";"0";NULL
"1452391";"Q6811310";"nm3346060";"1452391";"";"Melanie Marnich";"0";NULL
"1453686";"Q590227";"nm0241164";"1453686";"";"King Edward VIII of the United Kingdom";"0";NULL
"1455865";"Q136695021";"nm5004949";"1455865";"";"Satine Spark";"1";NULL
"1471474";"Q134972792";"nm0166803";"1471474";"";"David Climie";"0";NULL
"1471535";"Q97301088";"nm1361250";"1471535";"";"Xiaoqiu Zheng";"0";NULL
"1476412";"Q98167220";"nm0191596";"1476412";"";"Margaret Cullington";"0";NULL
"1478721";"Q52203393";"nm1076359";"0";"";"Olivia De Treville";"1";NULL
"1479878";"Q547039";"nm2406693";"1479878";"";"Simon Schaffer";"0";"3996642"
"1487684";"Q139371251";"nm2884361";"1487684";"";"Rei Misaki";"0";NULL
"1489358";"Q139785035";"nm0111531";"1489358";"";"Mrs. Owen Bronson";"0";NULL
"1491642";"Q1901715";"nm0679430";"1491642";"";"Markus Pfeiffer";"0";NULL
"1496026";"Q19664222";"nm0809727";"1496026";"";"Rob Smith";"0";NULL
"1496196";"Q11222657";"nm2645586";"1496196";"";"HIRO";"0";NULL
"1496198";"Q11299680";"nm3867088";"1496198";"";"Kuro-chan";"0";NULL
"1501189";"Q11530095";"nm2453654";"5757729";"";"Yaya Matsushima";"1";NULL
"1502663";"Q152260";"nm1197578";"1502663";"";"Queen Alexandra";"0";NULL
"1503173";"Q11427963";"nm2062441";"1503173";"";"Atsushi Tsutsumishita";"0";NULL
"1510323";"Q11425313";"nm10238580";"1510323";"";"Risa Sakamoto";"1";NULL
"1512430";"Q7822230";"nm1088137";"0";"";"Tony DiSanto";"0";NULL
"1512642";"Q3027440";"nm0620044";"1512642";"";"Michiyo Nakajima";"0";NULL
"1525501";"Q85996994";"nm2063876";"1525501";"";"Saška Dimitrovska";"0";NULL
"1534125";"Q139892847";"nm0280607";"0";"";"Louis Fitzroy";"0";NULL
"1550680";"Q139796299";"nm0868329";"1550680";"";"Heather Torrance";"1";NULL
"1552409";"Q117861976";"nm1644501";"0";"";"Armen Oganezov";"1";NULL
"1558926";"Q6599613";"nm5876583";"0";"";"Daniel Litman";"0";NULL
"1562694";"Q11272171";"nm9246583";"1562694";"";"Tsukushi Sugina";"1";NULL
"1590341";"Q106690612";"nm3631642";"0";"";"Yo Santhaveesuk";"0";NULL
"1597670";"Q139801490";"nm0484434";"1597670";"";"Amika Giortano";"1";NULL
"1599145";"Q139802015";"nm1829009";"1599145";"";"Michael Parker";"1";NULL
"1599146";"Q139802014";"nm2207558";"0";"";"Randy Allen";"1";NULL
"1611614";"Q24640139";"nm2847100";"0";"";"Tiffany Hsiung";"0";NULL
"1615386";"Q95688376";"nm2640312";"0";"";"Erika Kunstmann";"0";NULL
"1615895";"Q28416152";"nm5241376";"0";"";"Wong Chun";"0";NULL
"1617745";"Q11516554";"nm4441138";"1617745";"";"Arisawa Misa";"1";NULL
"1621897";"Q123392307";"nm7366315";"0";"";"Taylor Mason";"0";NULL
"1626670";"Q9070532";"nm4732220";"1626670";"";"Jill Hsu";"0";NULL
"1627653";"Q109493253";"nm0525694";"1627653";"";"Valeri Lukinov";"0";NULL
"1632226";"Q139892961";"nm0153852";"1632226";"";"Vanessa Chase";"1";NULL
"1632701";"Q139825946";"nm0953489";"1632701";"";"Zarina";"1";NULL
"1634668";"Q109413003";"nm0882462";"1634668";"";"Yuriy Ustinov";"0";NULL
"1635440";"Q136446824";"nm6953659";"1635440";"";"Ingrid Mouth";"1";NULL
"1645213";"Q11354543";"nm1097728";"1645213";"";"Chisato Kawamura";"0";NULL
"1649838";"Q16264056";"nm6688880";"1649838";"";"Kotaro Ishidate";"0";NULL
"1654252";"Q114915491";"nm3255161";"0";"";"Burlee Vang";"0";NULL
"1679190";"Q139660872";"nm4599053";"1679190";"";"Riku Sena";"1";NULL
"1681683";"Q137971462";"nm8451584";"1681683";"";"Jeong Yoo-jin";"0";NULL
"1692324";"Q12110777";"nm0461861";"0";"";"Svetlana Knyazeva";"0";NULL
"1696064";"Q115331503";"nm1375122";"0";"";"Victor Gadderus";"0";NULL
"1716131";"Q139721811";"nm2026560";"1716131";"";"Motonobu Hori";"0";NULL
"1716664";"Q122724237";"nm2814190";"0";"";"Jack Price";"0";NULL
"1717332";"Q55734060";"nm10463299";"1717332";"";"Jeong Da-eun";"0";"2128914"
"1721652";"Q138796259";"nm3003323";"1721652";"";"Maika Asai";"1";NULL
"1728296";"Q2381353";"nm0847042";"60757";"";"Yumi Takada";"0";"60757"
"1733405";"Q139821182";"nm0185191";"1733405";"";"Paul Coxxx";"1";NULL
"1737298";"Q59030357";"nm6194955";"1737298";"";"Kirby Johnson";"0";NULL
"1744060";"Q111650228";"nm8176068";"1744060";"";"Neha Shetty";"0";NULL
"1744377";"Q137863827";"nm9250203";"1744377";"";"Hong Sae-hee";"0";NULL
"1746811";"Q11414494";"nm0949053";"1746811";"";"Mari Yoshino";"1";NULL
"1760835";"Q86092565";"nm4193601";"0";"";"Carlos Abreu";"0";NULL
"1765287";"Q11727401";"nm2070853";"0";"";"Joanna Domańska";"0";NULL
"1772189";"Q63729634";"nm1650772";"0";"";"Autumn Eakin";"0";NULL
"1787122";"Q139827205";"nm8306987";"1787122";"";"Lautaro Bettoni";"0";NULL
"1789963";"Q27042119";"nm1888582";"0";"";"Keith McQuirter";"0";NULL
"1795743";"Q28689726";"nm8929536";"1795743";"";"Chiemi Blouson";"0";NULL
"1804226";"Q139827835";"nm0547269";"1804226";"";"Kitty Marie";"1";NULL
"1804227";"Q139827730";"nm1007991";"1804227";"";"Molly Rome";"1";NULL
"1805390";"Q95400026";"nm12949595";"1805390";"";"Nanao Takizawa";"1";NULL
"1809108";"Q3341002";"nm1927176";"0";"";"Nicole Avril";"0";"77445"
"1830953";"Q73984162";"nm3410265";"1830953";"";"Maria Eriksson-Hecht";"0";NULL
"1854900";"Q139883888";"nm3812313";"1854900";"";"Benjamin Norris";"0";NULL
"1864769";"Q133081179";"nm4086237";"1864769";"";"Jason Katana";"1";NULL
"1870990";"Q113580958";"nm4282793";"0";"";"Alice Frost";"1";NULL
"1871631";"Q86445049";"nm6896427";"0";"";"Jon Wanzek";"0";NULL
"1871831";"Q139789838";"nm8566084";"1871831";"";"Olivia Dean";"0";NULL
"1874291";"Q139660169";"nm8787954";"1874291";"";"Aihara Yua";"1";NULL
"1883111";"Q136475621";"nm7503672";"1883111";"";"Diamond Monrow";"1";NULL
"1896272";"Q1399412";"nm1534875";"1896272";"";"Paul-Marie Coûteaux";"0";NULL
"1900887";"Q139805634";"nm2600606";"1900887";"";"Hrysoula Pateraki";"0";NULL
