"ID_SERIE";"ID_WIKIDATA";"ID_IMDB";"ID_WIKIDATA_SERIE";"ID_TMDB_WIKIDATA";"TITLE";"ADULT";"ID_SERIE_ERASE_WIKIDATA_ID"
"121";"Q39243428";"tt0056751";"0";"";"Doctor Who";"0";NULL
"1007";"Q868399";"tt0078635";"0";"";"Mrs. Columbo";"0";NULL
"1286";"Q4176031";"tt0259128";"0";"";"BattleBots";"0";"62959"
"3107";"Q5617763";"tt0177444";"0";"";"Gullah Gullah Island";"0";NULL
"4061";"Q7757952";"tt0296362";"272837";"";"The Power of Myth";"0";NULL
"5478";"Q5057729";"tt1249208";"0";"";"Celebrity Family Feud";"0";"82108"
"6031";"Q8000736";"tt0108990";"0";"";"Wild Oats";"0";NULL
"9787";"Q7757984";"tt0103515";"0";"";"The Powers That Be";"0";NULL
"9962";"Q7814726";"tt0108965";"0";"";"Tom";"0";NULL
"10798";"Q3829022";"tt0075484";"0";"";"Blansky's Beauties";"0";NULL
"11460";"Q7044776";"tt0086771";"0";"";"No Place Like Home";"0";NULL
"15666";"Q1068166";"tt1230187";"0";"";"Querida Enemiga";"0";NULL
"22587";"Q16539360";"tt0096558";"0";"";"Christine Cromwell";"0";NULL
"24838";"Q1887593";"tt0196264";"0";"";"Mallorca - Auf der Suche nach dem Paradies";"0";NULL
"25407";"Q5175094";"tt0161137";"0";"";"Costello";"0";NULL
"25552";"Q4767136";"tt0075476";"0";"";"Anna Karenina";"0";NULL
"36006";"Q1774576";"tt1294422";"0";"";"Klinik am Alex";"0";NULL
"39250";"Q703254";"tt1957207";"0";"";"He is Beautiful";"0";NULL
"39486";"Q763178";"tt0247890";"0";"";"Pobre Diabla";"0";NULL
"39735";"Q5245701";"tt2309561";"0";"";"Red or Black?";"0";NULL
"40647";"Q323282";"tt0111977";"0";"";"Gegen den Wind";"0";NULL
"40754";"Q324240";"tt1077223";"0";"";"Innocent";"0";NULL
"41009";"Q684274";"tt0111974";"0";"";"Für alle Fälle Stefanie";"0";NULL
"41633";"Q1395177";"tt5868006";"0";"";"Familie Petz";"0";NULL
"42506";"Q107011746";"tt2131768";"0";"";"The Mystic Archives of Dantalian";"0";NULL
"45384";"Q140393568";"tt1661145";"0";"";"Love Strikes!";"0";NULL
"51689";"Q10689158";"tt4479780";"0";"";"Söndagsöppet";"0";NULL
"57025";"Q1576684";"tt2038118";"0";"";"Soar High! Isami";"0";NULL
"57243";"Q39243484";"tt0436992";"0";"";"Doctor Who";"0";NULL
"64730";"Q2210683";"tt0085086";"0";"";"Sachsens Glanz und Preußens Gloria";"0";NULL
"72803";"Q65964033";"tt37449227";"0";"";"Temptation Island";"0";NULL
"74274";"Q26944205";"tt7172670";"0";"";"Azja Express";"0";NULL
"74804";"Q61125276";"tt13302116";"0";"";"חתונה ממבט ראשון";"0";NULL
"79944";"Q23011555";"tt0255725";"0";"";"Colegio Mayor";"0";NULL
"80715";"Q5452076";"tt8461250";"0";"";"Firing Line with Margaret Hoover";"0";"10631"
"84537";"Q6148809";"tt1070586";"0";"";"Juken no Kamisama";"0";NULL
"85771";"Q21693720";"tt4250064";"0";"";"Heel Holland Bakt";"0";"156792"
"86226";"Q4253907";"tt0449500";"0";"";"Ландыш серебристый 2";"0";NULL
"93164";"Q37995887";"tt10886618";"0";"";"5 Gold Rings";"0";"249122"
"101617";"Q140380135";"tt12100420";"0";"";"Afghanistan: The Wounded Land";"0";NULL
"107956";"Q86669207";"tt10270344";"0";"";"Passeggeri notturni";"0";NULL
"111084";"Q2220574";"tt0231826";"0";"";"Johan en de alverman";"0";NULL
"113846";"Q823843";"tt1254039";"0";"";"Mensen zoals jij en ik";"0";"129135"
"123798";"Q140319741";"tt14497980";"0";"";"Before Pintus";"0";NULL
"130822";"Q114024662";"tt27235304";"0";"";"Our Secret";"0";NULL
"131046";"Q108012943";"tt16311368";"0";"";"Kidnap";"0";NULL
"131327";"Q10588929";"tt5544672";"0";"";"Moraeus Med Mera";"0";NULL
"132387";"Q107537749";"tt11122656";"0";"";"Winning Combination";"0";NULL
"132819";"Q109298406";"tt26926758";"0";"";"Palm and Tambourine";"0";NULL
"134155";"Q110287733";"tt15023948";"0";"";"Evlilik Hakkında Her Şey";"0";NULL
"136303";"Q140354685";"tt15664884";"0";"";"Tatuśkowie";"0";NULL
"138371";"Q109553489";"tt4534140";"0";"";"Napamiehet";"0";NULL
"158085";"Q108760356";"tt13442632";"0";"";"Fixer";"0";NULL
"200862";"Q13402105";"tt4957334";"0";"";"Fatal Wine";"0";"58211"
"201575";"Q113497863";"tt20470748";"0";"";"Sondos";"0";NULL
"206120";"Q111947988";"tt18413282";"0";"";"Vencer la ausencia";"0";NULL
"206444";"Q109299648";"tt15005532";"0";"";"Soulou Domou'i";"0";NULL
"211295";"Q140319924";"tt22694034";"0";"";"Me contro Te - La famiglia reale";"0";NULL
"219959";"Q1191955";"tt0493328";"0";"";"Hanaukyou Maid Team";"0";NULL
"225852";"Q140389936";"tt26685570";"0";"";"How Not to Draw";"0";NULL
"226477";"Q140358159";"tt27862055";"0";"";"Wild Scandinavia";"0";NULL
"239770";"Q126960117";"tt31433814";"0";"";"Doctor Who";"0";NULL
"246498";"Q126909613";"tt31632120";"0";"";"Kore kara Haishin Hajimemasu";"0";NULL
"249312";"Q4303948";"tt0476102";"0";"";"The Moscow Saga";"0";NULL
"253386";"Q2355640";"tt0205696";"0";"";"Streit um Drei";"0";NULL
"257023";"Q137766849";"tt34000616";"0";"";"The Science Club";"0";NULL
"263085";"Q128751946";"tt38689682";"0";"";"Who is that?";"0";NULL
"278785";"Q131445661";"tt34279932";"0";"";"Stefan und Bully gegen irgendson Schnulli";"0";NULL
"291720";"Q140407632";"tt30443478";"0";"";"InvestigateTV+";"0";NULL
"292557";"Q139376969";"tt37050740";"0";"";"Se tiene que morir mucha gente";"0";NULL
"293298";"Q136005516";"tt37202552";"0";"";"Most Wanted: Teen Hacker";"0";NULL
"299201";"Q4824734";"tt0310416";"0";"";"Australian Survivor";"0";"10957"
"300727";"Q139455537";"tt43357366";"0";"";"The Apartment Job";"0";NULL
"301089";"Q140329348";"tt35609863";"0";"";"Las Perrerías de Mike";"0";NULL
"301412";"Q136364083";"tt39028251";"0";"";"Dream to You";"0";NULL
"304928";"Q137856278";"tt39375466";"0";"";"Mirai's Future Son";"0";NULL
"309997";"Q137760215";"tt29058981";"0";"";"Prima di noi";"0";NULL
"311680";"Q86750416";"tt11170862";"0";"";"Cosmos: Mundos Posibles";"0";"58474"
"312781";"Q140371672";"tt35852536";"0";"";"Sogn Murders";"0";NULL
"319600";"Q139618046";"tt42338645";"0";"";"Azure Spring";"0";NULL
"319788";"Q138818553";"tt41054362";"0";"";"Tko bi rekao?";"0";NULL
"320294";"Q140381060";"tt43405601";"0";"";"The Law of Nature";"0";NULL
"322499";"Q140311717";"tt43351313";"0";"";"Possible Love";"0";NULL
"324434";"Q140274586";"tt41515375";"0";"";"Soy Luna: Let's Roll Again";"0";NULL
"326781";"Q2644182";"tt0832330";"513106";"";"The Legend Of Zelda 1989";"0";NULL
"326806";"Q110078384";"tt0427222";"0";"";"Esther Waters";"0";NULL
"326911";"Q18347759";"tt1181659";"0";"";"City '68";"0";NULL
"326913";"Q112631839";"tt14986406";"0";"";"死神 千年血战篇 BLEACH 千年血戦篇‎ (2022)";"0";NULL
"326926";"Q16252203";"tt0214350";"0";"";"Harriet's Back in Town";"0";NULL
"326930";"Q137636964";"tt38672679";"0";"";"Svärtan";"0";NULL
"326940";"Q97474286";"tt0424800";"0";"";"Angel Pavement";"0";NULL
"326941";"Q129715423";"tt0066700";"0";"";"Pere Goriot";"0";NULL
"327057";"Q4428861";"tt1034424";"0";"";"Сонька Золотая Ручка";"0";NULL
"327059";"Q65076271";"tt10014412";"0";"";"Parasparam";"0";NULL
"327070";"Q3282102";"tt0462644";"0";"";"4º sen ascensor";"0";NULL
"327102";"Q67015238";"tt10889694";"0";"";"Una vida de mierda";"0";NULL
"327113";"Q106920428";"tt13358084";"0";"";"Tamasha with Harsha";"0";NULL
"327187";"Q125783433";"tt26573083";"0";"";"Monument Mythos";"0";NULL
"327188";"Q14126513";"tt10575396";"0";"";"Chimney";"0";NULL
"327204";"Q3811280";"tt0274264";"0";"";"Jungleboek";"0";NULL
"327224";"Q4695802";"tt2252222";"0";"";"Lieve Liza";"0";NULL
"327248";"Q22080645";"tt3233442";"0";"";"Southern at Heart";"0";NULL
"327251";"Q21998231";"tt5366240";"0";"";"My Diet Is Better Than Yours";"0";NULL
"327260";"Q68947207";"tt9597412";"0";"";"Animator vs. Animation";"0";NULL
"327262";"Q16927598";"tt3711204";"0";"";"An African City";"0";NULL
"327285";"Q116609814";"tt16867040";"0";"";"Cunk on Earth";"0";NULL
"327435";"Q48729681";"tt10128152";"0";"";"Sembaruthi";"0";NULL
"327459";"Q110678626";"tt17632282";"0";"";"המסעדה הבאה של ישראל";"0";NULL
"327461";"Q303352";"tt39020004";"0";"";"Spartacus: Gods of the Arena";"0";NULL
"327466";"Q131394565";"tt36282283";"0";"";"Drag Race France: All Stars";"0";NULL
