"ID_SERIE";"ID_WIKIDATA";"ID_IMDB";"ID_WIKIDATA_SERIE";"ID_TMDB_WIKIDATA";"TITLE";"ADULT";"ID_SERIE_ERASE_WIKIDATA_ID"
"121";"Q39243428";"tt0056751";"0";"";"Doctor Who";"0";NULL
"1007";"Q868399";"tt0078635";"0";"";"Mrs. Columbo";"0";NULL
"1286";"Q4176031";"tt0259128";"0";"";"BattleBots";"0";"62959"
"3107";"Q5617763";"tt0177444";"0";"";"Gullah Gullah Island";"0";NULL
"5478";"Q5057729";"tt1249208";"0";"";"Celebrity Family Feud";"0";"82108"
"6031";"Q8000736";"tt0108990";"0";"";"Wild Oats";"0";NULL
"6182";"Q2068732";"tt1642158";"0";"";"Pure Pwnage";"0";"35762"
"9787";"Q7757984";"tt0103515";"0";"";"The Powers That Be";"0";NULL
"9962";"Q7814726";"tt0108965";"0";"";"Tom";"0";NULL
"10798";"Q3829022";"tt0075484";"0";"";"Blansky's Beauties";"0";NULL
"13067";"Q7406236";"tt2881474";"0";"";"Salty's Lighthouse";"0";NULL
"22587";"Q16539360";"tt0096558";"0";"";"Christine Cromwell";"0";NULL
"25407";"Q5175094";"tt0161137";"0";"";"Costello";"0";NULL
"25552";"Q4767136";"tt0075476";"0";"";"Anna Karenina";"0";NULL
"28934";"Q61950928";"tt0991046";"0";"";"Best Student Council";"0";NULL
"35374";"Q7729734";"tt0045383";"0";"";"The Dennis Day Show";"0";NULL
"42506";"Q107011746";"tt2131768";"0";"";"The Mystic Archives of Dantalian";"0";NULL
"57243";"Q39243484";"tt0436992";"0";"";"Doctor Who";"0";NULL
"74274";"Q26944205";"tt7172670";"0";"";"Azja Express";"0";NULL
"80715";"Q5452076";"tt8461250";"0";"";"Firing Line with Margaret Hoover";"0";"10631"
"84334";"Q24659182";"tt6221482";"0";"";"Nelly and Sherihan";"0";NULL
"85771";"Q21693720";"tt4250064";"0";"";"Heel Holland Bakt";"0";"156792"
"86226";"Q4253907";"tt0449500";"0";"";"Ландыш серебристый 2";"0";NULL
"93164";"Q37995887";"tt10886618";"0";"";"5 Gold Rings";"0";"249122"
"104827";"Q2836583";"tt0365978";"0";"";"Aplauso";"0";NULL
"112306";"Q132745484";"tt15836730";"0";"";"Helt Ramme sporter";"0";NULL
"113846";"Q823843";"tt1254039";"0";"";"Mensen zoals jij en ik";"0";"129135"
"121392";"Q139903217";"tt7641376";"0";"";"Vivi";"0";NULL
"138371";"Q109553489";"tt4534140";"0";"";"Napamiehet";"0";NULL
"200862";"Q13402105";"tt4957334";"0";"";"Fatal Wine";"0";"58211"
"209780";"Q140142301";"tt20355536";"0";"";"Toppen";"0";NULL
"219959";"Q1191955";"tt0493328";"0";"";"Hanaukyou Maid Team";"0";NULL
"234655";"Q140289245";"tt11712986";"0";"";"Creating Saturday Night Live";"0";NULL
"239770";"Q126960117";"tt31433814";"0";"";"Doctor Who";"0";NULL
"280978";"Q140299444";"tt34754674";"0";"";"falsch, aber anders lustig";"0";NULL
"287121";"Q19622204";"tt3746938";"390271";"";"Francesco";"0";NULL
"292557";"Q139376969";"tt37050740";"0";"";"Se tiene que morir mucha gente";"0";NULL
"293298";"Q136005516";"tt37202552";"0";"";"Most Wanted: Teen Hacker";"0";NULL
"296206";"Q139553270";"tt42127457";"0";"";"Agent Kim Reactivated";"0";NULL
"298221";"Q132521516";"tt2431250";"0";"";"Our Little Farm on the Prairie";"0";"283304"
"299201";"Q4824734";"tt0310416";"0";"";"Australian Survivor";"0";"10957"
"311680";"Q86750416";"tt11170862";"0";"";"Cosmos: Mundos Posibles";"0";"58474"
"320866";"Q140286018";"tt31961473";"0";"";"Blank";"0";NULL
"325863";"Q6038403";"tt0361215";"0";"";"Natacha (1990)";"0";NULL
"325894";"Q20831471";"tt6221028";"0";"";"Gold Tooth";"0";NULL
"325898";"Q97403085";"tt0499301";"0";"";"Ann Veronica";"0";NULL
"325899";"Q98077955";"tt0398565";"0";"";"Smuggler's Bay";"0";NULL
"325900";"Q110236160";"tt0396382";"0";"";"Take a Pair of Private Eyes";"0";NULL
"325928";"Q5016474";"tt0118279";"929279";"";"Cadillac Desert";"0";NULL
"325930";"Q7773867";"tt0498853";"0";"";"The Way We Live Now";"0";NULL
"325995";"Q63161725";"tt1113486";"0";"";"Merlin the Magical Puppy";"0";NULL
"326007";"Q109479658";"tt35508555";"892150";"";"Learning with Pibby: Armageddon";"0";NULL
"326014";"Q10717474";"tt0494198";"0";"";"Världarnas Bok";"0";NULL
"326026";"Q28667083";"tt8091356";"0";"";"Fantasy Patrol";"0";NULL
"326035";"Q18645269";"tt4228738";"0";"";"Into the Wild";"0";NULL
"326078";"Q25184139";"tt0415942";"318201";"";"Lie with Me";"0";NULL
"326082";"Q30893592";"tt2158618";"0";"";"The Three Bears";"0";NULL
"326090";"Q29378804";"tt0757254";"437293";"";"Love Lies Bleeding";"0";NULL
"326091";"Q54999877";"tt0309132";"438733";"";"Blood Strangers";"0";NULL
"326095";"Q55178734";"tt0101594";"207915";"";"The Cloning of Joanna May";"0";NULL
